AlbSet,AOD,COD,th0,cos_th0,Ts,RH,rh,tpw,alb_C01,alb_C02,alb_C03,alb_C05,alb_C06,C01_rad,C02_rad,C03_rad,C05_rad,C06_rad,C01,C02,C03,C05,C06
3,0.12,0.5,30.0,0.8660254037844387,285.0,50.0,0.5,10.524269951667252,0.06565,0.112386,0.354232,0.259652,0.180991,15.804277353126029,52.90868687540631,36.89728189662485,2.196653771135817,2.2341698715126195,0.15715703624862276,0.1800409070154335,0.25261549393673666,0.15762205322582296,0.12272701985523904
4,0.12,0.5,30.0,0.8660254037844387,285.0,50.0,0.5,10.524269951667252,0.100162,0.201559,0.454122,0.368143,0.289324,21.00122156768094,69.77443049179513,45.94044449602185,3.3024590038407204,3.3024788819354365,0.2088352200756947,0.2374326881672707,0.31452907860666496,0.2369696925930781,0.1814111793748216
3,0.12,0.5,30.0,0.8660254037844387,285.0,90.0,0.9,18.966876247123928,0.06565,0.112386,0.354232,0.259652,0.180991,16.15059036672307,52.95566181825909,36.41958376068414,2.236893057993347,2.1784488958675228,0.1606007575662871,0.18020075621634313,0.24934495626132164,0.1605094445380857,0.11966616518543761
4,0.12,0.5,30.0,0.8660254037844387,285.0,90.0,0.9,18.966876247123928,0.100162,0.201559,0.454122,0.368143,0.289324,21.29691528920695,70.09801049591246,45.63428957777913,3.348539966934244,3.2377703665341264,0.21177558538782087,0.2385337859429636,0.3124330034510552,0.2402762564734974,0.17785662277833375
3,0.12,0.5,30.0,0.8660254037844387,300.0,10.0,0.1,5.60472200819694,0.06565,0.112386,0.354232,0.259652,0.180991,15.744317901213309,53.589154300494656,37.597291887219846,2.176441563240307,2.253449042261622,0.1565608021059822,0.18235644307656962,0.2574080792016957,0.15617171555742007,0.12378605981521462
4,0.12,0.5,30.0,0.8660254037844387,300.0,10.0,0.1,5.60472200819694,0.100162,0.201559,0.454122,0.368143,0.289324,20.810792479611834,70.4351455345993,46.84509543374623,3.3167234875670095,3.3132826036917393,0.20694160163128356,0.2396810096171175,0.32072272842926836,0.23799324816778364,0.18200464748635717
3,0.12,0.5,30.0,0.8660254037844387,300.0,50.0,0.5,28.115555280876997,0.06565,0.112386,0.354232,0.259652,0.180991,15.856638648289948,51.252352907108644,34.69289304416323,2.1951586785715724,2.0714246001886427,0.15767771465600805,0.17440463275531004,0.23752325000523536,0.157514772068075,0.11378712571388563
4,0.12,0.5,30.0,0.8660254037844387,300.0,50.0,0.5,28.115555280876997,0.100162,0.201559,0.454122,0.368143,0.289324,21.1221662943903,67.55528596998494,43.86746811397701,3.281520750158113,3.0144666587553512,0.21003788909844395,0.22988124782542477,0.3003365439333359,0.23546725712519403,0.16559014343504203
3,0.12,0.5,30.0,0.8660254037844387,300.0,90.0,0.9,50.77481736061284,0.06565,0.112386,0.354232,0.259652,0.180991,16.217182862708782,51.1541470601321,33.85254526770064,2.22950231248843,1.9367959085259114,0.16126295040634397,0.17407045190887335,0.2317698487323586,0.15997911768518697,0.1063917264985205
4,0.12,0.5,30.0,0.8660254037844387,300.0,90.0,0.9,50.77481736061284,0.100162,0.201559,0.454122,0.368143,0.289324,21.518445768807975,67.69260234892845,42.966120466067274,3.2900103707390604,2.8401386135703777,0.21397847469651468,0.23034851637569673,0.2941655099280841,0.23607643434040224,0.15601398643125244
3,0.12,0.5,30.0,0.8660254037844387,320.0,10.0,0.1,17.790732986801878,0.06565,0.112386,0.354232,0.259652,0.180991,15.805931348928706,51.77931297552253,35.46439373346819,2.189137803807003,1.9593110803452176,0.1571734835098615,0.17619780461953657,0.24280529295483091,0.1570827410147168,0.10762852589061027
4,0.12,0.5,30.0,0.8660254037844387,320.0,10.0,0.1,17.790732986801878,0.100162,0.201559,0.454122,0.368143,0.289324,20.920779874476402,68.46479153088933,44.76200792120598,3.266269630512107,2.8775160772576065,0.20803531142992887,0.2329761688259481,0.30646096837962256,0.234372904968207,0.1580671985824732
3,0.12,0.5,30.0,0.8660254037844387,320.0,50.0,0.5,89.89379743803187,0.06565,0.112386,0.354232,0.259652,0.180991,15.96995883765031,48.889185795269455,31.126376124018208,2.2310463954606528,1.5966231073163442,0.15880456561597836,0.16636310355904604,0.21310526073598848,0.16008991417557197,0.08770541501407031
4,0.12,0.5,30.0,0.8660254037844387,320.0,50.0,0.5,89.89379743803187,0.100162,0.201559,0.454122,0.368143,0.289324,20.900630851127914,63.8024931110418,39.20082185810003,3.228466959824914,2.302872418050813,0.20783495043132072,0.21711101537274163,0.26838657124268567,0.23166035433804827,0.1265009758559033
3,0.12,0.5,30.0,0.8660254037844387,320.0,90.0,0.9,163.54494133649348,0.06565,0.112386,0.354232,0.259652,0.180991,16.34796082059478,48.368512183068525,29.82005165251971,2.2360293143674546,1.2085295059845576,0.16256340064578154,0.1645913236314812,0.20416157207800562,0.16044746615734912,0.0663867267067706
4,0.12,0.5,30.0,0.8660254037844387,320.0,90.0,0.9,163.54494133649348,0.100162,0.201559,0.454122,0.368143,0.289324,21.469928312717272,63.104639001429156,37.56458517786869,3.298411789533106,1.7152614341867891,0.21349601925516992,0.21473631484095598,0.2571841542643268,0.2366792825897387,0.09422243437015163
4,0.12,0.5,45.0,0.7071067811865476,270.0,10.0,0.1,0.7002750439845209,0.100162,0.201559,0.454122,0.368143,0.289324,18.105538413322574,59.84993345451031,40.30571690364723,2.766977061664404,2.8661705944314693,0.18004067463170376,0.203661004275881,0.27595118287074955,0.1985459025992913,0.15744397054873022
4,0.12,0.5,45.0,0.7071067811865476,270.0,50.0,0.5,3.5027922523960817,0.100162,0.201559,0.454122,0.368143,0.289324,18.28508998499661,59.272345540541316,39.57757762240789,2.780994202771857,2.8133568381053156,0.18182612753331917,0.2016955528906101,0.27096601174892115,0.19955170997355512,0.1545428147306718
4,0.12,0.5,45.0,0.7071067811865476,270.0,90.0,0.9,6.307579202674777,0.100162,0.201559,0.454122,0.368143,0.289324,18.454469436466365,59.49750115870199,39.56446879903061,2.7951712918639267,2.819018104531438,0.18351042932071718,0.20246172616209443,0.2708762628101874,0.20056899450005655,0.1548537984056124
4,0.12,0.5,45.0,0.7071067811865476,285.0,10.0,0.1,2.102284871618859,0.100162,0.201559,0.454122,0.368143,0.289324,18.166292660088597,59.340690357727084,39.76086522452609,2.775759444279372,2.8256452033288744,0.18064481217927578,0.20192812080341632,0.2722208816407276,0.19917608710910154,0.15521783701165848
3,0.12,0.5,45.0,0.7071067811865476,285.0,50.0,0.5,10.524269951667252,0.06565,0.112386,0.354232,0.259652,0.180991,14.25642661522695,44.43208961687012,30.059576482502436,1.8187890850750825,1.8240068397192541,0.1417652768477826,0.15119622480993372,0.20580146748834302,0.13050817281324087,0.10019601754040228
4,0.12,0.5,45.0,0.7071067811865476,285.0,50.0,0.5,10.524269951667252,0.100162,0.201559,0.454122,0.368143,0.289324,18.47611737402672,58.144012200068566,38.185767098372914,2.792522698570758,2.710829416187919,0.18372569545607187,0.19785599137374896,0.26143704687881225,0.20037894328738248,0.14891079672442967
3,0.12,0.5,45.0,0.7071067811865476,285.0,90.0,0.9,18.966876247123928,0.06565,0.112386,0.354232,0.259652,0.180991,14.58094567301529,44.47851813741447,29.850531877879394,1.8682034085697627,1.7599040183609092,0.14499228003107734,0.15135421461168164,0.2043702534981198,0.13405392373236238,0.096674732820769
4,0.12,0.5,45.0,0.7071067811865476,285.0,90.0,0.9,18.966876247123928,0.100162,0.201559,0.454122,0.368143,0.289324,18.74943536666382,58.2870985242621,37.793842421173736,2.7933316460655164,2.6553307258400713,0.18644355750800384,0.19834289424567192,0.2587537531285015,0.20043698974274618,0.1458621525908264
3,0.12,0.5,45.0,0.7071067811865476,300.0,10.0,0.1,5.60472200819694,0.06565,0.112386,0.354232,0.259652,0.180991,14.116649176032631,45.00694841243915,30.6406857124314,1.801337480454982,1.8215823587639217,0.14037533616353762,0.15315238938464285,0.20978000432368452,0.1292559236930333,0.10006283638612314
4,0.12,0.5,45.0,0.7071067811865476,300.0,10.0,0.1,5.60472200819694,0.100162,0.201559,0.454122,0.368143,0.289324,18.305971839611182,58.68257122534329,38.943211744503124,2.7557705710787928,2.7018595402207075,0.18203377577368313,0.19968863287589292,0.2666228557941682,0.19774177493986206,0.14841806510184194
