AlbSet,AOD,COD,th0,cos_th0,Ts,RH,rh,tpw,theta_trunc_cld,escape_alpha,escape,GHI,DNI,DHI,alb_C01,alb_C02,alb_C03,alb_C05,alb_C06
0,0.12,1.0,15.0,0.9659258262890683,300.0,90.0,0.9,50.77481736061284,3.0,1.0,g2,956.7942614624521,745.1327933077256,211.66146815472655,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,1.0,15.0,0.9659258262890683,320.0,50.0,0.5,89.89379743803187,3.0,1.0,g2,913.3007875732872,714.283611782603,199.01717579068398,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,1.0,15.0,0.9659258262890683,320.0,90.0,0.9,163.54494133649348,3.0,1.0,g2,885.7364588229104,689.3302437769681,196.40621504594213,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,1.0,30.0,0.8660254037844387,270.0,50.0,0.5,3.5027922523960817,3.0,1.0,g2,933.2691772987777,711.6033234585423,221.66585384023523,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,1.0,30.0,0.8660254037844387,270.0,90.0,0.9,6.307579202674779,3.0,1.0,g2,921.2405550109881,700.7237318674736,220.51682314351453,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,1.0,30.0,0.8660254037844387,285.0,50.0,0.5,10.524269951667252,3.0,1.0,g2,898.0584864995892,684.9831267945398,213.07535970504952,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,1.0,30.0,0.8660254037844387,285.0,90.0,0.9,18.966876247123928,3.0,1.0,g2,882.3528098036742,670.6074339256792,211.745375877995,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,1.0,30.0,0.8660254037844387,300.0,50.0,0.5,28.115555280876997,3.0,1.0,g2,857.94411125847,654.2823459542266,203.66176530424352,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,1.0,30.0,0.8660254037844387,300.0,90.0,0.9,50.77481736061284,3.0,1.0,g2,839.1471137579135,637.2171685131506,201.9299452447631,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,1.0,30.0,0.8660254037844387,320.0,50.0,0.5,89.89379743803187,3.0,1.0,g2,799.6017330611853,609.9948358307781,189.60689723040727,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,1.0,30.0,0.8660254037844387,320.0,90.0,0.9,163.54494133649348,3.0,1.0,g2,774.9586776878027,587.8446751325536,187.114002555249,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,1.0,45.0,0.7071067811865476,270.0,50.0,0.5,3.5027922523960817,3.0,1.0,g2,731.6465801609916,530.19492743971,201.45165272128168,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,1.0,45.0,0.7071067811865476,270.0,90.0,0.9,6.307579202674779,3.0,1.0,g2,722.5284901119788,522.2783168541342,200.25017325784452,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,1.0,45.0,0.7071067811865476,285.0,50.0,0.5,10.524269951667252,3.0,1.0,g2,702.5327116929487,508.90779441038353,193.6249172825653,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,1.0,45.0,0.7071067811865476,285.0,90.0,0.9,18.966876247123928,3.0,1.0,g2,690.5398207998381,498.51930064146023,192.02052015837785,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,1.0,45.0,0.7071067811865476,300.0,50.0,0.5,28.115555280876997,3.0,1.0,g2,669.0715452161907,484.70718397647096,184.36436123971973,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,1.0,45.0,0.7071067811865476,300.0,90.0,0.9,50.77481736061284,3.0,1.0,g2,654.9565163986551,472.1004499357038,182.85606646295136,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,1.0,45.0,0.7071067811865476,320.0,50.0,0.5,89.89379743803187,3.0,1.0,g2,621.0243166986024,449.7249753844179,171.29934131418457,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,1.0,45.0,0.7071067811865476,320.0,90.0,0.9,163.54494133649348,3.0,1.0,g2,602.4852253114477,433.229041489301,169.25618382214677,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,1.0,60.0,0.5000000000000001,270.0,50.0,0.5,3.5027922523960817,3.0,1.0,g2,473.113589484482,306.6043036087373,166.5092858757447,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,1.0,60.0,0.5000000000000001,270.0,90.0,0.9,6.307579202674779,3.0,1.0,g2,467.59037218597746,301.88492085558266,165.70545133039488,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,1.0,60.0,0.5000000000000001,285.0,50.0,0.5,10.524269951667252,3.0,1.0,g2,452.04412771756625,292.8002024130598,159.2439253045064,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,1.0,60.0,0.5000000000000001,285.0,90.0,0.9,18.966876247123928,3.0,1.0,g2,444.94976208745794,286.620173562407,158.3295885250509,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,1.0,60.0,0.5000000000000001,300.0,50.0,0.5,28.115555280876997,3.0,1.0,g2,428.4500780059513,277.1012255438454,151.348852462106,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,1.0,60.0,0.5000000000000001,300.0,90.0,0.9,50.77481736061284,3.0,1.0,g2,420.1754604903234,269.7730426092504,150.402417881073,0.0145,0.0288,0.4156,0.2031,0.0641
