index,Time,ghi,Sun_Zen,ghi_clear,T_s,RH,C01,C02,C03,C04,C05,C06,Sat_Zen,Sun_Gli,ele,Abdo_C01_p0,Abdo_C01_p1,Abdo_C01_p2,Abdo_C02_p0,Abdo_C02_p1,Abdo_C02_p2,Abdo_C03_p0,Abdo_C03_p1,Abdo_C03_p2,Abdo_C04_p0,Abdo_C04_p1,Abdo_C04_p2,Abdo_C05_p0,Abdo_C05_p1,Abdo_C05_p2,Abdo_C06_p0,Abdo_C06_p1,Abdo_C06_p2,BSA_C01,WSA_C01,BSA_C02,WSA_C02,BSA_C03,WSA_C03,BSA_C04,WSA_C04,BSA_C05,WSA_C05,BSA_C06,WSA_C06,RAZ
1178,2021-12-26 04:00:00,597.2,54.7812568915506,589.5643845398407,272.95,34.83,0.1228,0.0903,0.046,0.0275,0.043,0.017,40.24,91.6,0.04,0.107,0.0,0.036,0.082,0.053,0.0,0.055,0.006,0.0,0.067,0.171,0.0,0.024,0.004,0.0,0.031,0.037,0.0,0.108296,0.057405608,0.0924078889534031,0.092026752,0.0561782515796305,0.056135104,0.1005801700194706,0.099350464,0.024785501053087,0.024756736,0.038265884741055,0.0379998079999999,27.98911789848586
1182,2021-12-27 03:00:00,598.3,56.60133257596641,557.8246355369994,273.32,29.55,0.1143,0.081,0.0308,0.0248,0.0373,0.0135,40.24,87.96000000000001,0.04,0.107,0.0,0.036,0.082,0.054,0.0,0.054,0.006,0.0,0.067,0.171,0.0,0.024,0.004,0.0,0.03,0.037,0.0,0.108296,0.057405608,0.093863157710045,0.092215936,0.0553181286344494,0.055135104,0.1045666660818091,0.099350464,0.0248787524229662,0.024756736,0.0381284599124382,0.0369998079999999,44.66209346183254
1142,2021-12-19 02:00:00,485.7,61.47209768395622,470.7348095253917,277.12,57.3,0.0878,0.057,0.0198,0.0245,0.0385,0.0115,40.24,86.08,0.04,0.092,0.0,0.031,0.054,0.036,0.0,0.054,0.006,0.0,0.072,0.184,0.0,0.044,0.008,0.001,0.035,0.042,0.0,0.092961,0.049293718,0.0644610170787837,0.060810624,0.0557435028464639,0.055135104,0.1254674206248944,0.106809856,0.0463256704619519,0.04413585,0.0472045199252476,0.042945728,58.54987281104778
1134,2021-12-18 02:00:00,486.7,61.39783475184778,472.1435438443093,273.84999999999997,72.02,0.0945,0.0633,0.0323,0.0248,0.0403,0.0153,40.24,86.06,0.04,0.085,0.0,0.029,0.06,0.039,0.0,0.039,0.004,0.0,0.054,0.138,0.0,0.045,0.008,0.001,0.025,0.03,0.0,0.085841,0.045048962,0.0712868357361103,0.067378176,0.0401576241780625,0.039756736,0.0939380341431595,0.080107392,0.0473162483561251,0.04513585,0.0336821813354694,0.03067552,58.44961912410585
1117,2021-12-13 02:00:00,485.3,60.93041940538514,479.60840820844015,277.78,82.27,0.0965,0.0618,0.0205,0.0255,0.039,0.0118,40.24,85.88,0.04,0.106,0.0,0.036,0.069,0.045,0.0,0.038,0.004,0.0,0.049,0.126,0.0,0.02,0.003,0.0,0.021,0.025,0.0,0.107296,0.056405608,0.081692869135059,0.07751328,0.0391282550342274,0.038756736,0.0845400335781653,0.072837184,0.0208461912756706,0.020567552,0.0280515939639217,0.0257296,58.01782609338866
1088,2021-12-04 05:00:00,567.3,56.29333587679828,557.7596126912289,286.97999999999996,38.26,0.123,0.0838,0.041,0.0243,0.0428,0.018,40.24,96.38,0.04,0.168,0.0,0.057,0.09,0.059,0.0,0.036,0.004,0.0,0.022,0.056,0.0,0.017,0.003,0.0,0.006,0.007,0.0,0.171249,0.089475546,0.1027219004786274,0.101161856,0.0368625017273645,0.036756736,0.0340750241831039,0.032594304,0.0176468762955234,0.017567552,0.0075093780228879,0.007324288,8.35342225541143
1198,2021-12-30 03:00:00,574.5,56.53425020857244,558.7257861446375,278.65,37.84,0.1178,0.08,0.0338,0.0253,0.0413,0.0178,40.24,87.74,0.04,0.129,0.0,0.044,0.097,0.063,0.0,0.095,0.01,0.0,0.1,0.256,0.0,0.105,0.019,0.003,0.06,0.072,0.0,0.130936,0.068384632,0.1107843444356837,0.108918592,0.0971879911802672,0.09689184,0.1560125742148418,0.148431104,0.1091661832425077,0.10446163,0.0757535364979242,0.073621248,45.102739548163385
1190,2021-12-29 04:00:00,584.5,54.64093113421958,591.7227761672307,281.34999999999997,46.49,0.125,0.0878,0.0418,0.0255,0.0425,0.0173,40.24,91.36,0.04,0.129,0.0,0.044,0.097,0.063,0.0,0.095,0.01,0.0,0.1,0.256,0.0,0.105,0.019,0.003,0.06,0.072,0.0,0.130936,0.068384632,0.1092627364034709,0.108918592,0.096946466095789,0.09689184,0.1498295320521994,0.148431104,0.1087072855819991,0.10446163,0.0740145558896811,0.073621248,28.403398079513497
1125,2021-12-17 02:00:00,474.3,61.31709773267187,473.6650954103084,280.04999999999995,53.16,0.0953,0.0633,0.0243,0.0258,0.0398,0.0158,40.24,86.04,0.04,0.086,0.0,0.029,0.06,0.039,0.0,0.039,0.004,0.0,0.054,0.139,0.0,0.045,0.008,0.001,0.025,0.03,0.0,0.0868409999999999,0.0460489619999999,0.0712370350982074,0.067378176,0.0401525164203289,0.039756736,0.0940499456064316,0.080296576,0.0473060328406579,0.04513585,0.0336438731524672,0.03067552,58.35388753261108
1111,2021-12-07 04:00:00,517.4,54.093003145281905,597.3027206297107,285.84999999999997,64.61,0.138,0.097,0.0538,0.0258,0.0525,0.0218,40.24,91.56,0.04,0.17,0.0,0.058,0.08,0.053,0.0,0.037,0.004,0.0,0.032,0.083,0.0,0.013,0.002,0.0,0.013,0.015,0.0,0.173364,0.090097924,0.0899634405935839,0.090026752,0.0377519577806478,0.037756736,0.0476031239484427,0.047702272,0.0133759788903239,0.013378368,0.0158198416774294,0.01583776,25.399657366669828
1165,2021-12-22 03:00:00,531.0,56.56577769316588,558.793585788448,280.38,75.79,0.1155,0.0768,0.0383,0.0253,0.0453,0.0183,40.24,88.2,0.04,0.104,0.0,0.035,0.074,0.049,0.0,0.049,0.005,0.0,0.068,0.175,0.0,0.038,0.007,0.001,0.032,0.039,0.0,0.105225,0.0557832299999999,0.0847416153176147,0.083270016,0.0500960831956749,0.04994592,0.106362911848624,0.1011072,0.0395355164739449,0.037946666,0.0405494489262647,0.039378176,43.968872197694594
