index,Time,ghi,Sun_Zen,ghi_clear,T_s,RH,C01,C02,C03,C04,C05,C06,Sat_Zen,Sun_Gli,ele,Abdo_C01_p0,Abdo_C01_p1,Abdo_C01_p2,Abdo_C02_p0,Abdo_C02_p1,Abdo_C02_p2,Abdo_C03_p0,Abdo_C03_p1,Abdo_C03_p2,Abdo_C04_p0,Abdo_C04_p1,Abdo_C04_p2,Abdo_C05_p0,Abdo_C05_p1,Abdo_C05_p2,Abdo_C06_p0,Abdo_C06_p1,Abdo_C06_p2,BSA_C01,WSA_C01,BSA_C02,WSA_C02,BSA_C03,WSA_C03,BSA_C04,WSA_C04,BSA_C05,WSA_C05,BSA_C06,WSA_C06,RAZ
33,2021-03-21 05:00:00,774.6,38.26211705483324,810.3090286506008,272.46,67.52,0.1528,0.1568,0.281,0.0328,0.2445,0.185,45.12,83.46000000000001,1.04,0.064,0.028,0.0,0.121,0.067,0.008,0.274,0.189,0.036,0.324,0.223,0.046,0.285,0.151,0.042,0.212,0.196,0.033,0.0654664051455146,0.069297152,0.1245728980267671,0.1226543519999999,0.2851942347322237,0.260161384,0.3377948695517772,0.30281742,0.2946721134633109,0.25570666,0.2233538360186023,0.203618538,3.221773287707123
45,2021-03-29 03:00:00,790.1,39.67931682527535,782.4642224613123,277.44,65.09,0.1645,0.1553,0.2633,0.0305,0.1908,0.1305,45.12,75.10000000000001,1.04,0.064,0.029,0.0,0.121,0.067,0.008,0.276,0.19,0.036,0.325,0.223,0.046,0.285,0.151,0.042,0.211,0.196,0.033,0.0657557592782259,0.069486336,0.1251204093669358,0.1226543519999999,0.2887992504435492,0.262350568,0.3406171834153236,0.30381742,0.2959060569314523,0.25570666,0.2239555109838718,0.202618538,51.0119655813032
31,2021-03-21 03:00:00,865.6,42.76091977155827,749.9192911449819,272.65999999999997,63.06,0.136,0.118,0.2155,0.0318,0.1783,0.1263,45.12,78.12,1.04,0.064,0.028,0.0,0.121,0.067,0.008,0.274,0.189,0.036,0.324,0.223,0.046,0.285,0.151,0.042,0.212,0.196,0.033,0.0662609761892586,0.069297152,0.1264741930242974,0.1226543519999999,0.2905575892774957,0.260161384,0.3441230603644525,0.30281742,0.2989571215920732,0.25570666,0.2289158333248102,0.203618538,49.70755591659858
44,2021-03-29 02:00:00,698.4,47.95849612087743,664.9282824131143,276.27,68.09,0.1763,0.1638,0.2148,0.0325,0.1425,0.107,45.12,73.48,1.04,0.064,0.029,0.0,0.121,0.067,0.008,0.276,0.19,0.036,0.325,0.223,0.046,0.285,0.151,0.042,0.211,0.196,0.033,0.067569168298005,0.069486336,0.1293100095160806,0.1226543519999999,0.3006802060903779,0.262350568,0.3545616734639699,0.30381742,0.3053482901034055,0.25570666,0.2362116547037582,0.202618538,69.14419446954125
43,2021-03-29 01:00:00,462.8,58.228307358643335,497.68636393794696,276.28,67.78,0.203,0.2023,0.2468,0.0375,0.1465,0.1238,45.12,72.76,1.04,0.064,0.029,0.0,0.121,0.067,0.008,0.276,0.19,0.036,0.325,0.223,0.046,0.285,0.151,0.042,0.211,0.196,0.033,0.0710168936258326,0.069486336,0.137275443894165,0.1226543519999999,0.3232687513416621,0.262350568,0.3810734923641613,0.30381742,0.323300239224163,0.25570666,0.2595135224366619,0.202618538,82.83882922275708
41,2021-03-25 02:00:00,737.8,49.36686632284677,647.5727074516192,275.5,85.4,0.1745,0.164,0.2275,0.0505,0.164,0.127,45.12,75.0,1.04,0.064,0.029,0.0,0.121,0.067,0.008,0.276,0.19,0.036,0.325,0.224,0.046,0.285,0.151,0.042,0.211,0.196,0.033,0.0679577385849576,0.069486336,0.1302077408686951,0.1226543519999999,0.3032260114186878,0.262350568,0.3576861187251898,0.304006604,0.3073715353906412,0.25570666,0.238837853884541,0.202618538,68.1492272074187
40,2021-03-23 05:00:00,752.2,37.51204092491468,817.4421340181332,281.83,34.3,0.1613,0.1593,0.2998,0.0313,0.2588,0.1893,45.12,82.72,1.04,0.064,0.029,0.0,0.121,0.067,0.008,0.276,0.19,0.036,0.325,0.224,0.046,0.285,0.151,0.042,0.211,0.196,0.033,0.0654012312109446,0.069486336,0.1243013272804583,0.1226543519999999,0.2864764803475684,0.262350568,0.337939303146607,0.304006604,0.2940600659604359,0.25570666,0.221559390253281,0.202618538,2.753182002530963
38,2021-03-23 03:00:00,852.2,41.98614144969099,758.392712454842,279.17999999999995,38.01,0.1345,0.1245,0.2403,0.03,0.189,0.1335,45.12,77.36,1.04,0.064,0.029,0.0,0.121,0.067,0.008,0.276,0.19,0.036,0.325,0.224,0.046,0.285,0.151,0.042,0.211,0.196,0.033,0.0661849758213411,0.069486336,0.1261120475872363,0.1226543519999999,0.2916113588294763,0.262350568,0.3439930546200141,0.304006604,0.2981409430697416,0.25570666,0.2268564227925123,0.202618538,50.02310550968289
42,2021-03-25 03:00:00,693.1,41.21356419434883,766.6500205477822,279.21999999999997,72.17,0.175,0.1608,0.2403,0.04,0.1845,0.127,45.12,76.60000000000001,1.04,0.064,0.029,0.0,0.121,0.067,0.008,0.276,0.19,0.036,0.325,0.224,0.046,0.285,0.151,0.042,0.211,0.196,0.033,0.0660350630746942,0.069486336,0.1257656974484315,0.1226543519999999,0.2906291718686865,0.262350568,0.3428351078872935,0.304006604,0.2973603629061665,0.25570666,0.2258432194013818,0.202618538,50.345059591476314
68,2021-04-17 02:00:00,922.4,41.761537792452174,732.8989766634324,277.66999999999996,51.42,0.109,0.093,0.2738,0.0293,0.1578,0.0963,45.12,66.52,1.04,0.065,0.029,0.0,0.112,0.061,0.007,0.345,0.238,0.046,0.341,0.235,0.048,0.267,0.142,0.039,0.18,0.167,0.028,0.0671407409929929,0.070486336,0.1165519379507783,0.11389687,0.3646848398735286,0.32665518,0.3606513839087362,0.319332384,0.2790032490001725,0.24013687,0.1931117153734423,0.1730203119999999,74.38670450206243
64,2021-04-14 02:00:00,876.1,42.66477935494879,724.0366249101533,272.13,66.25,0.1183,0.1018,0.2668,0.0275,0.163,0.0995,45.12,67.56,1.04,0.066,0.03,0.0,0.114,0.063,0.007,0.334,0.23,0.044,0.336,0.231,0.047,0.267,0.142,0.039,0.188,0.174,0.029,0.0684019875946692,0.07167552,0.1190931739488053,0.116275238,0.3543512382257975,0.316896952,0.3567043044789532,0.31495327,0.279890407948101,0.24013687,0.2027725280490815,0.180966978,73.49935809990777
81,2021-04-26 00:00:00,527.8,61.93333843726954,407.91121038299104,275.94,85.18,0.2168,0.1953,0.2538,0.0393,0.1108,0.1138,45.12,62.82,1.04,0.063,0.029,0.0,0.099,0.062,0.0,0.331,0.27,0.018,0.32,0.208,0.025,0.231,0.183,0.004,0.148,0.061,0.0,0.0716410748720991,0.068486336,0.1174740221403499,0.110729408,0.4117753867402337,0.357282484,0.3826023645998836,0.324909722,0.2855441621239362,0.260110184,0.166176054041312,0.1595402239999999,101.47298832160382
