index,Time,ghi,Sun_Zen,ghi_clear,T_s,RH,C01,C02,C03,C04,C05,C06,Sat_Zen,Sun_Gli,ele,Abdo_C01_p0,Abdo_C01_p1,Abdo_C01_p2,Abdo_C02_p0,Abdo_C02_p1,Abdo_C02_p2,Abdo_C03_p0,Abdo_C03_p1,Abdo_C03_p2,Abdo_C04_p0,Abdo_C04_p1,Abdo_C04_p2,Abdo_C05_p0,Abdo_C05_p1,Abdo_C05_p2,Abdo_C06_p0,Abdo_C06_p1,Abdo_C06_p2,BSA_C01,WSA_C01,BSA_C02,WSA_C02,BSA_C03,WSA_C03,BSA_C04,WSA_C04,BSA_C05,WSA_C05,BSA_C06,WSA_C06,RAZ
221,2021-03-02 04:00:00,651.4,55.50591103911282,600.2132704814004,259.59999999999997,45.64,0.3635,0.36,0.3943,0.0348,0.0928,0.0698,61.4,113.1,1.2,0.956,0.338,0.198,0.77,0.103,0.0,0.905,0.427,0.141,0.429,0.043,0.0,0.122,0.049,0.009,0.055,0.009,0.0,1.0,0.7471750359999998,0.7911621411239967,0.789485952,1.0,0.7915368660000001,0.4378346802750666,0.437134912,0.1321484263599596,0.1188714179999999,0.0568491191273395,0.056702656,24.04854650611739
241,2021-03-06 03:00:00,718.9,53.33697118872187,635.5562607987945,258.84999999999997,42.39,0.3793,0.3843,0.414,0.0368,0.0935,0.0673,61.4,103.88,1.2,0.655,0.048,0.0,0.695,0.093,0.0,0.825,0.39,0.129,0.362,0.152,0.0,0.102,0.069,0.0,0.054,0.025,0.0,0.6635941045047782,0.664080832,0.7116510774780076,0.712594112,0.911468099101322,0.7210685219999999,0.3892146642651307,0.390755968,0.1143540252256185,0.115053696,0.0584760960962386,0.0587296,42.04060463133163
211,2021-03-01 02:00:00,621.8,57.794593652596554,560.5730914118163,260.16999999999996,38.49,0.3373,0.356,0.3753,0.0565,0.1185,0.1075,61.4,96.96,1.2,0.751,0.005,0.0,0.774,0.103,0.0,0.781,0.011,0.0,0.432,0.078,0.0,0.118,0.016,0.0,0.056,0.015,0.0,0.7521794464007784,0.75194592,0.7982965958560346,0.793485952,0.7835947820817125,0.783081024,0.4503993638521427,0.4467563519999999,0.1217742284824908,0.121026944,0.0595383392023351,0.05883776,59.80926073196707
210,2021-03-01 01:00:00,532.9,63.046104833107094,465.25946058014256,259.7,39.54,0.2855,0.298,0.3218,0.0493,0.1083,0.097,61.4,88.7,1.2,0.751,0.005,0.0,0.774,0.103,0.0,0.781,0.011,0.0,0.432,0.078,0.0,0.118,0.016,0.0,0.056,0.015,0.0,0.7525813962119158,0.75194592,0.8065767619654652,0.793485952,0.7844790716662148,0.783081024,0.4566697809058863,0.4467563519999999,0.1230604678781305,0.121026944,0.0607441886357473,0.05883776,75.8312082125887
232,2021-03-05 04:00:00,692.7,54.390350459808325,618.1674496643011,260.91999999999996,58.67,0.3868,0.3865,0.4133,0.0338,0.1028,0.0793,61.4,112.18,1.2,0.671,0.049,0.0,0.709,0.095,0.0,0.843,0.398,0.132,0.374,0.115,0.0,0.106,0.05,0.0,0.053,0.027,0.0,0.6803876092827357,0.680270016,0.7272004669767325,0.7269724799999999,0.9366743774393632,0.736449128,0.3960321442349919,0.39575616,0.1155791931456486,0.1154592,0.0581727642986502,0.0581079679999999,23.64240414406379
247,2021-03-07 02:00:00,654.3,55.48317403452846,598.6960760121528,261.65,58.72,0.3275,0.3353,0.3603,0.0305,0.0853,0.0628,61.4,95.24,1.2,0.651,0.047,0.0,0.699,0.021,0.0,0.7,0.058,0.0,0.359,0.129,0.0,0.112,0.044,0.008,0.052,0.032,0.0,0.6606429301394873,0.659891648,0.7033085432538134,0.7029728639999999,0.7118997861295799,0.7109726719999999,0.3854667657019968,0.3834047359999999,0.121091423960371,0.10930312,0.0585653992439061,0.058053888,60.17730557244994
218,2021-03-02 01:00:00,522.2,62.681096640500485,471.72086652522506,253.7,58.45,0.26,0.2718,0.3128,0.0365,0.0853,0.065,61.4,88.4,1.2,0.956,0.338,0.198,0.77,0.103,0.0,0.905,0.427,0.141,0.429,0.043,0.0,0.122,0.049,0.009,0.055,0.009,0.0,1.0,0.7471750359999998,0.8019500836113388,0.789485952,1.0,0.7915368660000001,0.4423383844202676,0.437134912,0.1372805543393747,0.1188714179999999,0.0577917548786606,0.056702656,75.96518554685315
323,2021-03-24 04:00:00,750.5,47.248095910790646,711.2197361660927,274.42999999999995,35.97,0.2013,0.1653,0.2003,0.0295,0.1698,0.1228,61.4,106.38,1.2,0.057,0.147,0.005,0.106,0.347,0.004,0.157,0.15,0.009,0.22,0.413,0.028,0.207,0.312,0.022,0.171,0.098,0.039,0.0741710009609107,0.077921938,0.1464898934247349,0.1661363599999999,0.1745769193478681,0.172979002,0.2689560979377969,0.259559576,0.2438755122435657,0.2357177239999999,0.1839516673072738,0.135812774,20.3422801998841
263,2021-03-10 04:00:00,697.0,52.51367468283712,647.6191657136256,273.42999999999995,44.8,0.3403,0.3408,0.3468,0.0303,0.0853,0.0525,61.4,110.66,1.2,0.64,0.046,0.0,0.688,0.043,0.0,0.689,0.082,0.0,0.346,0.166,0.0,0.111,0.044,0.008,0.05,0.039,0.0,0.6478022588987615,0.648702464,0.695293415927103,0.696134912,0.7029083745586617,0.7045130879999999,0.3741559777650957,0.3774045439999999,0.1185270302509892,0.10830312,0.0566149586315586,0.057378176,22.89131544643658
231,2021-03-03 04:00:00,646.9,55.1351719566297,606.2163185217437,264.13,47.69,0.3615,0.3598,0.384,0.03,0.0923,0.0675,61.4,112.8,1.2,0.724,0.053,0.0,0.761,0.023,0.0,0.757,0.047,0.0,0.407,0.107,0.0,0.112,0.013,0.0,0.052,0.017,0.0,0.7346412543069105,0.734026752,0.7656179028124329,0.765351232,0.7664365840080151,0.765891648,0.4284832869969703,0.427242688,0.1146101189809403,0.114459392,0.0554132325135373,0.0552161279999999,23.916996181393245
322,2021-03-24 03:00:00,774.5,46.192230851440854,727.1278538238429,273.72999999999996,37.9,0.174,0.1578,0.1818,0.0308,0.1513,0.1075,61.4,98.62,1.2,0.057,0.147,0.005,0.106,0.347,0.004,0.157,0.15,0.009,0.22,0.413,0.028,0.207,0.312,0.022,0.171,0.098,0.039,0.0728224427199809,0.077921938,0.1433065620668937,0.1661363599999999,0.1732008395101846,0.172979002,0.265167291451375,0.259559576,0.241013266181184,0.2357177239999999,0.1830526284799873,0.135812774,40.946784908292614
320,2021-03-24 01:00:00,648.7,54.29951449032624,598.4305384235338,272.33,41.77,0.147,0.1377,0.152,0.0278,0.105,0.0678,61.4,81.98,1.2,0.057,0.147,0.005,0.106,0.347,0.004,0.157,0.15,0.009,0.22,0.413,0.028,0.207,0.312,0.022,0.171,0.098,0.039,0.085025739970299,0.077921938,0.1721129848278487,0.1661363599999999,0.1856531836431622,0.172979002,0.2994527456308401,0.259559576,0.2669141419777775,0.2357177239999999,0.1911881599801993,0.135812774,78.90234320789625
309,2021-03-18 01:00:00,586.5,56.616307432179894,570.8423967837716,272.63,55.29,0.1263,0.0963,0.0975,0.0265,0.1233,0.0875,61.4,83.72,1.2,0.059,0.153,0.005,0.11,0.361,0.005,0.18,0.172,0.01,0.206,0.388,0.026,0.193,0.29,0.021,0.154,0.088,0.035,0.0926676910786541,0.081057042,0.1894041599960402,0.1714073139999999,0.2179205416047615,0.198763428,0.2919921054805086,0.24358522,0.2572081922405863,0.218933298,0.174575044541971,0.122431422,78.09137836769469
