index,Time,ghi,Sun_Zen,ghi_clear,T_s,RH,C01,C02,C03,C04,C05,C06,Sat_Zen,Sun_Gli,ele,Abdo_C01_p0,Abdo_C01_p1,Abdo_C01_p2,Abdo_C02_p0,Abdo_C02_p1,Abdo_C02_p2,Abdo_C03_p0,Abdo_C03_p1,Abdo_C03_p2,Abdo_C04_p0,Abdo_C04_p1,Abdo_C04_p2,Abdo_C05_p0,Abdo_C05_p1,Abdo_C05_p2,Abdo_C06_p0,Abdo_C06_p1,Abdo_C06_p2,BSA_C01,WSA_C01,BSA_C02,WSA_C02,BSA_C03,WSA_C03,BSA_C04,WSA_C04,BSA_C05,WSA_C05,BSA_C06,WSA_C06,RAZ
27,2021-02-05 03:00:00,385.7,59.57322885742166,532.5796250814968,276.91999999999996,32.94,0.125,0.1005,0.0968,0.0283,0.1323,0.1023,47.8,97.54,1.32,0.102,0.004,0.02,0.182,0.087,0.051,0.271,0.103,0.079,0.29,0.15,0.092,0.235,0.008,0.055,0.23,0.095,0.069,0.0746921676963586,0.0752042959999999,0.1324426767848881,0.128200286,0.1859305598834283,0.181653814,0.1987878598062086,0.191636376,0.159119177994706,0.1607442619999999,0.1570159096946885,0.1529165619999999,42.59902945428925
44,2021-02-10 02:00:00,417.9,64.40181726051293,442.4726353417442,273.53,56.64,0.106,0.0843,0.0773,0.0288,0.1088,0.077,47.8,93.58,1.32,0.101,0.004,0.02,0.18,0.086,0.05,0.267,0.102,0.078,0.289,0.149,0.091,0.239,0.008,0.056,0.228,0.094,0.069,0.0736458693294343,0.074204296,0.1374206436822823,0.1273887239999999,0.189656204055733,0.178842252,0.208952138645209,0.1918248139999999,0.1613218669494183,0.1633666399999999,0.1608603389598044,0.150727378,58.24840331313638
50,2021-02-12 05:00:00,498.1,54.10913686585883,628.0781469062855,274.36074074074077,77.96481481481482,0.1545,0.14,0.1508,0.0308,0.177,0.1448,47.8,101.64,1.32,0.101,0.004,0.02,0.179,0.085,0.05,0.266,0.101,0.078,0.284,0.147,0.09,0.23,0.008,0.054,0.226,0.093,0.068,0.0737927819368062,0.074204296,0.1250957072816361,0.12619954,0.1759627089981256,0.177653068,0.1858431729117754,0.1878240679999999,0.1560135978049644,0.157121884,0.1484372178345528,0.149915816,8.370533733081544
49,2021-02-12 04:00:00,489.9,54.05510253749525,629.0015910119812,274.2588888888889,77.64277777777778,0.152,0.1333,0.141,0.0308,0.1658,0.131,47.8,98.3,1.32,0.101,0.004,0.02,0.179,0.085,0.05,0.266,0.101,0.078,0.284,0.147,0.09,0.23,0.008,0.054,0.226,0.093,0.068,0.0737939986649055,0.074204296,0.1250500762520004,0.12619954,0.1759120320859783,0.177653068,0.1857649308864218,0.1878240679999999,0.1560187000905615,0.157121884,0.1483898263863466,0.149915816,26.39420896498788
48,2021-02-12 02:00:00,326.1,63.837833956857224,452.8997472185922,274.05518518518517,76.9987037037037,0.1238,0.0938,0.082,0.0273,0.1085,0.0788,47.8,92.92,1.32,0.101,0.004,0.02,0.179,0.085,0.05,0.266,0.101,0.078,0.284,0.147,0.09,0.23,0.008,0.054,0.226,0.093,0.068,0.0736489575784792,0.074204296,0.1353529339014448,0.12619954,0.1874907760517767,0.177653068,0.203456837826181,0.1878240679999999,0.1552289119702315,0.157121884,0.1591878540661173,0.149915816,58.626701635314845
68,2021-02-21 05:00:00,564.3,51.01616888474027,672.5644483245994,289.60999999999996,16.22,0.1568,0.1518,0.168,0.0288,0.188,0.1583,47.8,98.62,1.32,0.095,0.004,0.018,0.174,0.083,0.048,0.257,0.098,0.075,0.271,0.14,0.086,0.221,0.008,0.052,0.217,0.089,0.065,0.0706429931810728,0.07095954,0.1201351787169413,0.1235764159999999,0.1679791814669846,0.172218382,0.1731573886618686,0.179010268,0.1500903208526069,0.150877128,0.1404719594320124,0.144291946,7.666051621149279
30,2021-02-05 06:00:00,403.7,59.76040079542453,529.1734512973544,284.88,16.73,0.138,0.123,0.1353,0.0273,0.158,0.126,47.8,107.3,1.32,0.102,0.004,0.02,0.182,0.087,0.051,0.271,0.103,0.079,0.29,0.15,0.092,0.235,0.008,0.055,0.23,0.095,0.069,0.0746895741706426,0.0752042959999999,0.1326500374034009,0.128200286,0.1861632652265445,0.181653814,0.1991425831394262,0.191636376,0.1591036874353508,0.1607442619999999,0.1572331950733901,0.1529165619999999,7.889423197871594
67,2021-02-21 04:00:00,610.1,50.92189328092352,674.1046409493721,289.85999999999996,15.93,0.1688,0.1558,0.1703,0.0408,0.178,0.1555,47.8,95.28,1.32,0.095,0.004,0.018,0.174,0.083,0.048,0.257,0.098,0.075,0.271,0.14,0.086,0.221,0.008,0.052,0.217,0.089,0.065,0.0706448401760081,0.07095954,0.1200682249882616,0.1235764159999999,0.1679060547546262,0.172218382,0.1730460835391925,0.179010268,0.1500991898408719,0.150877128,0.140404541821739,0.144291946,26.688021090754972
73,2021-02-22 07:00:00,382.8,61.18476505270888,494.8716513321647,284.69,20.66,0.13,0.1025,0.1038,0.0278,0.1425,0.1083,47.8,105.14,1.32,0.095,0.004,0.018,0.174,0.083,0.048,0.257,0.098,0.075,0.271,0.14,0.086,0.221,0.008,0.052,0.217,0.089,0.065,0.0705190980959222,0.07095954,0.129408110686659,0.1235764159999999,0.1782611538012032,0.172218382,0.1886152318419858,0.179010268,0.1492603491775884,0.150877128,0.1499229122144524,0.144291946,26.01254923712054
167,2021-04-13 03:00:00,895.5,35.15536220257905,831.261775430933,284.21,16.58,0.1368,0.127,0.1825,0.0328,0.169,0.124,47.8,73.68,1.32,0.097,0.034,0.021,0.15,0.076,0.036,0.267,0.117,0.066,0.284,0.146,0.09,0.23,0.008,0.054,0.184,0.025,0.047,0.070154598440156,0.074502194,0.1046303655987152,0.114783592,0.1830015188666985,0.198211476,0.1689587798999987,0.187634884,0.1580497253467165,0.157121884,0.1220395288835365,0.123981366,51.28924136060513
