source_server,AlbSet,AOD,COD,th0,cos_th0,Ts,RH,rh,tpw,escape,GHI,DNI,DHI,alb_C01,alb_C02,alb_C03,alb_C05,alb_C06
83,0,0.12,0.5,30.0,0.8660254037844387,300.0,10.0,0.1,5.60472200819694,none,904.4830759937868,439.5169034155477,464.9661725782389,0.0145,0.0288,0.4156,0.2031,0.0641
83,0,0.12,0.5,30.0,0.8660254037844387,300.0,50.0,0.5,28.115555280877004,none,846.9071191902253,410.4771306992115,436.4299884910138,0.0145,0.0288,0.4156,0.2031,0.0641
83,0,0.12,0.5,30.0,0.8660254037844387,300.0,90.0,0.9,50.77481736061284,none,828.7129401818468,395.3046101932014,433.4083299886454,0.0145,0.0288,0.4156,0.2031,0.0641
83,0,0.12,0.5,30.0,0.8660254037844387,320.0,10.0,0.1,17.790732986801878,none,858.9656586725101,417.66144880540105,441.3042098671092,0.0145,0.0288,0.4156,0.2031,0.0641
83,0,0.12,0.5,30.0,0.8660254037844387,320.0,50.0,0.5,89.89379743803187,none,788.8537491942801,381.40047440825487,407.45327478602536,0.0145,0.0288,0.4156,0.2031,0.0641
83,0,0.12,0.5,30.0,0.8660254037844387,320.0,90.0,0.9,163.54494133649348,none,765.0974014729802,362.5480648710034,402.5493366019768,0.0145,0.0288,0.4156,0.2031,0.0641
83,0,0.12,0.5,45.0,0.7071067811865476,270.0,10.0,0.1,0.7002750439845209,none,744.5582337918343,314.03500771107207,430.52322608076224,0.0145,0.0288,0.4156,0.2031,0.0641
85,0,0.12,0.5,45.0,0.7071067811865476,270.0,50.0,0.5,3.5027922523960817,none,715.407288974239,302.2055414637015,413.2017475105376,0.0145,0.0288,0.4156,0.2031,0.0641
83,0,0.12,0.5,45.0,0.7071067811865476,270.0,90.0,0.9,6.307579202674779,none,706.8224070711923,292.7922619464736,414.03014512471856,0.0145,0.0288,0.4156,0.2031,0.0641
85,0,0.12,0.5,45.0,0.7071067811865476,285.0,10.0,0.1,2.102284871618859,none,723.8452978978345,306.5688984465011,417.27639945133336,0.0145,0.0288,0.4156,0.2031,0.0641
83,0,0.12,0.5,45.0,0.7071067811865476,285.0,50.0,0.5,10.524269951667252,none,686.7197042520811,287.46375587440696,399.2559483776741,0.0145,0.0288,0.4156,0.2031,0.0641
85,0,0.12,0.5,45.0,0.7071067811865476,285.0,90.0,0.9,18.966876247123928,none,675.2151390872748,279.5242850566894,395.6908540305854,0.0145,0.0288,0.4156,0.2031,0.0641
83,0,0.12,0.5,45.0,0.7071067811865476,300.0,10.0,0.1,5.60472200819694,none,700.443838985126,294.1412459270638,406.30259305806214,0.0145,0.0288,0.4156,0.2031,0.0641
85,0,0.12,0.5,45.0,0.7071067811865476,300.0,50.0,0.5,28.115555280877004,none,653.4781583637337,274.49521317474915,378.9829451889845,0.0145,0.0288,0.4156,0.2031,0.0641
83,0,0.12,0.5,45.0,0.7071067811865476,300.0,90.0,0.9,50.77481736061284,none,639.7093159712053,262.9105591594772,376.798756811728,0.0145,0.0288,0.4156,0.2031,0.0641
85,0,0.12,0.5,45.0,0.7071067811865476,320.0,10.0,0.1,17.790732986801878,none,662.4730664289558,279.4842208941684,382.98884553478734,0.0145,0.0288,0.4156,0.2031,0.0641
83,0,0.12,0.5,45.0,0.7071067811865476,320.0,50.0,0.5,89.89379743803187,none,606.0702518225257,252.3420076008531,353.7282442216725,0.0145,0.0288,0.4156,0.2031,0.0641
85,0,0.12,0.5,45.0,0.7071067811865476,320.0,90.0,0.9,163.54494133649348,none,588.4356189250933,240.222290917903,348.2133280071903,0.0145,0.0288,0.4156,0.2031,0.0641
83,0,0.12,0.5,60.0,0.5000000000000001,270.0,10.0,0.1,0.7002750439845209,none,470.5326310524846,144.0881657790177,326.4444652734669,0.0145,0.0288,0.4156,0.2031,0.0641
83,0,0.12,0.5,60.0,0.5000000000000001,270.0,50.0,0.5,3.5027922523960817,none,450.4668711668274,137.25775278275285,313.2091183840746,0.0145,0.0288,0.4156,0.2031,0.0641
83,0,0.12,0.5,60.0,0.5000000000000001,270.0,90.0,0.9,6.307579202674779,none,445.321723382118,133.47066870594446,311.85105467617353,0.0145,0.0288,0.4156,0.2031,0.0641
83,0,0.12,0.5,60.0,0.5000000000000001,285.0,10.0,0.1,2.102284871618859,none,456.0608143458456,139.75951972459293,316.3012946212527,0.0145,0.0288,0.4156,0.2031,0.0641
83,0,0.12,0.5,60.0,0.5000000000000001,285.0,50.0,0.5,10.524269951667252,none,430.55510828222407,130.50546136125817,300.049646920966,0.0145,0.0288,0.4156,0.2031,0.0641
83,0,0.12,0.5,60.0,0.5000000000000001,285.0,90.0,0.9,18.966876247123928,none,424.2472182128226,125.98764941246954,298.259568800353,0.0145,0.0288,0.4156,0.2031,0.0641
83,0,0.12,0.5,60.0,0.5000000000000001,300.0,10.0,0.1,5.60472200819694,none,439.5532775196762,134.20890555520953,305.34437196446663,0.0145,0.0288,0.4156,0.2031,0.0641
83,0,0.12,0.5,60.0,0.5000000000000001,300.0,50.0,0.5,28.115555280877004,none,408.41675552110746,123.51970673671664,284.89704878439073,0.0145,0.0288,0.4156,0.2031,0.0641
83,0,0.12,0.5,60.0,0.5000000000000001,300.0,90.0,0.9,50.77481736061284,none,400.3646192037021,117.65293613557344,282.7116830681286,0.0145,0.0288,0.4156,0.2031,0.0641
83,0,0.12,0.5,60.0,0.5000000000000001,320.0,10.0,0.1,17.790732986801878,none,413.64022917611743,125.90010944811914,287.74011972799826,0.0145,0.0288,0.4156,0.2031,0.0641
83,0,0.12,0.5,60.0,0.5000000000000001,320.0,50.0,0.5,89.89379743803187,none,376.19909124377705,112.83160223799575,263.3674890057813,0.0145,0.0288,0.4156,0.2031,0.0641
83,0,0.12,0.5,60.0,0.5000000000000001,320.0,90.0,0.9,163.54494133649348,none,365.28916904077784,105.65111605833692,259.6380529824409,0.0145,0.0288,0.4156,0.2031,0.0641
85,0,0.12,0.5,65.0,0.4226182617406994,270.0,10.0,0.1,0.7002750439845209,none,372.3083125388748,94.0928639106189,278.21544862825584,0.0145,0.0288,0.4156,0.2031,0.0641
83,0,0.12,0.5,65.0,0.4226182617406994,270.0,50.0,0.5,3.5027922523960817,none,355.82916011826353,88.46668475738635,267.36247536087717,0.0145,0.0288,0.4156,0.2031,0.0641
85,0,0.12,0.5,65.0,0.4226182617406994,270.0,90.0,0.9,6.307579202674779,none,351.5696124624084,86.58042521241474,264.98918724999356,0.0145,0.0288,0.4156,0.2031,0.0641
83,0,0.12,0.5,65.0,0.4226182617406994,285.0,10.0,0.1,2.102284871618859,none,360.4547678453492,90.164314817188,270.2904530281612,0.0145,0.0288,0.4156,0.2031,0.0641
85,0,0.12,0.5,65.0,0.4226182617406994,285.0,50.0,0.5,10.524269951667252,none,338.9947271279287,84.51898401060657,254.47574311732217,0.0145,0.0288,0.4156,0.2031,0.0641
83,0,0.12,0.5,65.0,0.4226182617406994,285.0,90.0,0.9,18.966876247123928,none,333.2977071135517,80.45782350303082,252.83988361052084,0.0145,0.0288,0.4156,0.2031,0.0641
85,0,0.12,0.5,65.0,0.4226182617406994,300.0,10.0,0.1,5.60472200819694,none,346.72686958762654,87.15866012841666,259.5682094592099,0.0145,0.0288,0.4156,0.2031,0.0641
83,0,0.12,0.5,65.0,0.4226182617406994,300.0,50.0,0.5,28.115555280877004,none,320.3413343849218,78.8427971225601,241.49853726236176,0.0145,0.0288,0.4156,0.2031,0.0641
85,0,0.12,0.5,65.0,0.4226182617406994,300.0,90.0,0.9,50.77481736061284,none,313.92017762768813,75.28499225993448,238.6351853677536,0.0145,0.0288,0.4156,0.2031,0.0641
83,0,0.12,0.5,65.0,0.4226182617406994,320.0,10.0,0.1,17.790732986801878,none,324.43262080448073,80.25175546017849,244.18086534430225,0.0145,0.0288,0.4156,0.2031,0.0641
85,0,0.12,0.5,65.0,0.4226182617406994,320.0,50.0,0.5,89.89379743803187,none,293.5372403809234,72.03040382509381,221.5068365558296,0.0145,0.0288,0.4156,0.2031,0.0641
83,0,0.12,0.5,65.0,0.4226182617406994,320.0,90.0,0.9,163.54494133649348,none,285.7969744184303,66.88219728880195,218.91477712962833,0.0145,0.0288,0.4156,0.2031,0.0641
83,0,0.12,1.0,0.0,1.0,270.0,10.0,0.1,0.7002750439845209,none,1119.7453692963395,363.9233068956124,755.8220624007272,0.0145,0.0288,0.4156,0.2031,0.0641
83,0,0.12,1.0,0.0,1.0,270.0,50.0,0.5,3.5027922523960817,none,1081.1915801057255,350.64082320206694,730.5507569036588,0.0145,0.0288,0.4156,0.2031,0.0641
83,0,0.12,1.0,0.0,1.0,270.0,90.0,0.9,6.307579202674779,none,1068.6005452435793,343.4189669796483,725.1815782639309,0.0145,0.0288,0.4156,0.2031,0.0641
83,0,0.12,1.0,0.0,1.0,285.0,10.0,0.1,2.102284871618859,none,1092.8464180419137,354.87902192265216,737.9673961192615,0.0145,0.0288,0.4156,0.2031,0.0641
83,0,0.12,1.0,0.0,1.0,285.0,50.0,0.5,10.524269951667252,none,1041.4865711876637,338.4953069877669,702.9912641998967,0.0145,0.0288,0.4156,0.2031,0.0641
