cern_site,cern_lat,cern_lon,matched_carsnet_site,carsnet_lat,carsnet_lon,distance_km,suggested_AOD_fixed,aod_method,match_quality,top3_candidates,source_wavelength_nm,target_wavelength_nm,angstrom_exponent,conversion_factor_550_to_497p5,suggested_AOD_fixed_497p5nm
SJM,47.583333,133.516667,LongFS,44.733300,127.600000,554.818600,0.079027,pooled_p20_after_tukey_filter,distant,LongFS (554.8 km); Dalian (1360.4 km); Xilinhot (1405.4 km),550.000000,497.500000,1.300000,1.139306,0.090036
SNF,31.383333,110.216667,XiAn,34.433333,108.966667,358.647903,0.248358,pooled_p20_after_tukey_filter,distant,XiAn (358.6 km); Jinsha (428.3 km); Zhengzhou (489.6 km),550.000000,497.500000,1.300000,1.139306,0.282956
SPD,37.466667,105.000100,Minqin,38.633333,103.083333,212.120243,0.107147,pooled_p20_after_tukey_filter,fair,Minqin (212.1 km); Waliguan (387.7 km); XiAn (491.1 km),550.000000,497.500000,1.300000,1.139306,0.122073
SYA,41.516667,123.400000,Dalian,38.900000,121.633333,327.341134,0.102221,pooled_p20_after_tukey_filter,distant,Dalian (327.3 km); LongFS (493.9 km); Shangdianzi (535.2 km),550.000000,497.500000,1.300000,1.139306,0.116461
SYB,18.216667,109.483333,Nanning,22.633333,108.216667,508.526729,0.217688,pooled_p20_after_tukey_filter,distant,Nanning (508.5 km); Jinsha (1356.5 km); Shangrila (1444.2 km),550.000000,497.500000,1.300000,1.139306,0.248013
THL,31.421000,120.215333,LinAn,30.216667,119.700000,142.670739,0.112371,pooled_p20_after_tukey_filter,good,LinAn (142.7 km); Shanghai (165.6 km); Shouxian (341.9 km),550.000000,497.500000,1.300000,1.139306,0.128025
TYA,28.916667,111.433333,Jinsha,29.633333,114.200000,279.921704,0.119018,pooled_p20_after_tukey_filter,fair,Jinsha (279.9 km); Shouxian (643.0 km); XiAn (656.3 km),550.000000,497.500000,1.300000,1.139306,0.135598
YCA,36.866667,116.566667,Tianjin,39.066670,117.175000,250.372396,0.131116,pooled_p20_after_tukey_filter,fair,Tianjin (250.4 km); Gucheng (262.1 km); Daxing (289.0 km),550.000000,497.500000,1.300000,1.139306,0.149381
YGA,31.266667,105.450000,XiAn,34.433333,108.966667,481.488529,0.248358,pooled_p20_after_tukey_filter,distant,XiAn (481.5 km); Shangrila (620.4 km); Waliguan (698.4 km),550.000000,497.500000,1.300000,1.139306,0.282956
YTA,28.200000,116.916667,Jinsha,29.633333,114.200000,308.720461,0.119018,pooled_p20_after_tukey_filter,distant,Jinsha (308.7 km); LinAn (351.1 km); Shouxian (469.0 km),550.000000,497.500000,1.300000,1.139306,0.135598
