Ta,rh,COD,th0,dsw,dni,dhi,C01,C02,C03,C04,C05,C06
309.2,0.1,0.39810717055349715,15.0,956.1306168501102,535.6210737782324,438.76038858303303,12.00581631475534,32.92829345616177,32.51775763891765,0.015936968388113336,3.4758238761294273,2.782868952179135
309.2,0.1,0.39810717055349715,30.0,831.9825345034301,487.2886923583198,409.9781479442251,11.71396319973567,30.657000172831786,29.505242947702513,0.012794268518910138,3.1027222390710056,2.532070460969987
309.2,0.1,0.39810717055349715,45.0,635.9673315511357,399.5982119781584,353.4087261113604,11.352881641381416,27.510182396577672,24.901719491858245,0.011400874902032015,2.620677861883677,2.1408963538635386
309.2,0.1,0.39810717055349715,60.0,387.8478765560838,256.39882072483243,259.64846619366756,10.790029564816841,23.55819622453266,18.874832672831946,0.01132584217262608,2.004496037191768,1.672306684166266
309.2,0.1,0.630957344480193,0.0,988.9258441652053,423.9103280150949,565.0155161501102,12.797512742809339,35.07644357550333,33.86905330441676,0.015727861480769326,3.569351483930221,2.865323269445897
309.2,0.1,0.630957344480193,15.0,945.9432555003502,425.91943614371525,534.536672210658,12.644732829797626,34.15703267693959,32.985363982646696,0.015139276447494224,3.4857243518089565,2.8001147393902555
309.2,0.1,0.630957344480193,30.0,820.3090839956113,377.1622597865397,493.67698567172204,12.572668278482404,32.4924983660371,30.061230559944242,0.014427308655714198,3.1699952855806006,2.5598325225840854
309.2,0.1,0.630957344480193,45.0,623.2277797894463,292.2591005662291,416.56938791558457,12.21920107345349,29.326167616019823,25.52238762409234,0.012980357003702498,2.690155285182068,2.2133270706165975
309.2,0.1,0.630957344480193,60.0,374.5074658909876,166.9656791532561,291.02462631435947,11.581039646338619,25.75831712913007,19.982816205882745,0.010732442830588256,2.12312404369845,1.809272977681527
309.2,0.1,0.9999999999999994,0.0,974.7239175918191,291.95624688829275,682.7676707035263,13.676321927076593,36.85902691402627,34.37494878242093,0.016893796871682742,3.591455504839219,2.8903737112575363
309.2,0.1,0.9999999999999994,15.0,931.2633667816015,297.4471135223466,643.9515178752305,13.631660471485535,36.21453131142669,33.34959043307834,0.015220718423959365,3.514627222203005,2.8125951673516245
309.2,0.1,0.9999999999999994,30.0,803.5008201510389,253.32839697377509,584.1119928717608,13.704771975723457,34.87779537797851,30.837929547891964,0.013883831578009962,3.2639706423947503,2.6283893636167073
309.2,0.1,0.9999999999999994,45.0,603.4505245298279,181.64065132947022,475.0111882356183,13.306551197455867,32.615450009740975,26.82167098890509,0.013422243637727815,2.8337984313708695,2.3482760649964907
309.2,0.1,0.9999999999999994,60.0,355.88521984036674,87.6722931240238,312.0490732783548,12.713077082480229,29.203307721910203,21.598808472067912,0.010874559605004271,2.284441268989581,1.9815795516453012
309.2,0.1,0.0,0.0,1010.2681484944486,813.2795197037766,196.98862879067215,11.109417970202113,31.354360760451982,32.552121365956694,0.01671582355714306,3.5115527574297474,3.0478018471873805
309.2,0.1,0.0,15.0,968.6793304981499,806.6768880234731,189.48929088578254,10.866525563679708,30.50127009845178,31.446474256265727,0.017372982116569062,3.3860209650078654,2.940935097806743
309.2,0.1,0.0,30.0,846.4837951519385,769.1760241122242,180.3578182888403,10.525683692656276,27.91300647313591,28.186863565435896,0.015341210428344146,3.0299182047344866,2.620131563267936
309.2,0.1,0.0,45.0,654.442618600056,695.5766632154197,162.5956432053213,10.035563534495004,23.935094072276584,22.919366820760192,0.013605481647639854,2.472794345569218,2.13958842945745
309.2,0.1,0.0,60.0,410.5974180705754,556.9518799780998,132.12147808152545,9.189329938330332,18.95733779688362,16.50847047117689,0.011400757892342763,1.7574581320085034,1.5141289382860719
309.2,0.1,1.5848931924611125,0.0,948.7409067910122,160.80469134618002,787.936215444832,15.331925805968606,40.98453095418321,35.370195813606095,0.015340905116112288,3.7366313526130446,2.9525261103355196
309.2,0.1,1.5848931924611125,15.0,904.7919869367308,170.28785533378434,740.306549566452,15.32325487066964,40.45616077170214,34.53555055478774,0.015462054167618476,3.6031476045052693,2.910517560110296
309.2,0.1,1.5848931924611125,30.0,774.7696433112533,138.07919796611566,655.1895501384164,15.364738234065804,39.7940410901867,32.589149753752835,0.014872458835309715,3.4009952965411347,2.7569702024520635
309.2,0.1,1.5848931924611125,45.0,573.5741105229905,88.94091060374375,510.68338951017677,15.18534518584819,37.85038253227575,29.15838964021484,0.015014062848517515,3.051741257797776,2.5607506647548774
309.2,0.1,1.5848931924611125,60.0,330.9185509893889,36.315655503272886,312.7607232377524,14.471781363972088,33.99796710950715,23.832149834491183,0.013458374104178236,2.492676798458313,2.196112029903762
309.2,0.1,2.5118864315095784,0.0,908.210750165755,62.44784254490408,845.762907620851,17.75505757975108,47.32997073019352,37.90951076807139,0.01699777148398714,3.92039287655054,3.1469420266569075
309.2,0.1,2.5118864315095784,15.0,862.696451463965,75.0181701066756,790.2344635169806,17.94191507168049,47.29460729231522,37.14210222648679,0.017504433912805272,3.8393364701629857,3.135971212883746
309.2,0.1,2.5118864315095784,30.0,731.416885917367,58.055445530794074,681.1393952596757,18.076005270362472,46.76705435345387,35.38884209832218,0.01694928053951123,3.6658622198717175,3.0326647033538876
309.2,0.1,2.5118864315095784,45.0,530.4556802054676,34.84692397476607,505.81518395941856,17.978895576281708,45.434687507428634,32.19988483935156,0.015100301363162122,3.3066195117767387,2.813316855779513
309.2,0.1,2.5118864315095784,60.0,301.96362113426295,14.86279281714438,294.53222472569075,16.503335465458846,39.722337265725294,26.524825980769215,0.013152798859254064,2.716151483791201,2.434362114414547
309.2,0.1,3.981071705534969,0.0,838.4779317731042,14.290440410948587,824.1874913621556,22.255093167789077,59.14514763300219,42.6517921892388,0.01662221828438544,4.253654623348577,3.414922564509319
309.2,0.1,3.981071705534969,15.0,793.3785873246338,25.552063978148944,768.6971888131492,22.271116151111297,58.84101129455759,41.836599727591285,0.01771889920096524,4.1818484595,3.405942744666614
309.2,0.1,3.981071705534969,30.0,665.6328775706311,22.370340326654652,646.2595945564445,22.493698198628785,58.20519806860327,40.20079181738634,0.01642245710290155,4.034114029383049,3.3272928726700917
309.2,0.1,3.981071705534969,45.0,476.9345660111145,15.98303661735816,465.6328524350276,21.833892323883713,55.459959924862375,36.691778764754645,0.015193766988645803,3.656052372986062,3.1042794574077583
309.2,0.1,3.981071705534969,60.0,268.2955051500351,8.935571125611034,263.8277195872296,18.945644725750952,46.44793407013188,29.44410627696716,0.014124565250864834,2.959913662275693,2.6391530618102372
