AlbSet,AOD,COD,th0,cos_th0,Ts,RH,rh,tpw,alb_C01,alb_C02,alb_C03,alb_C05,alb_C06,C01_rad,C02_rad,C03_rad,C05_rad,C06_rad,C01,C02,C03,C05,C06
3,0.12,0.5,0.0,1.0,320.0,90.0,0.9,163.54494133649348,0.06565,0.112386,0.354232,0.259652,0.180991,17.40141333385281,55.80738782467346,34.81666844705536,2.741289111013539,1.406569368454767,0.173038885928223,0.18990478342010655,0.23837067244210802,0.1967026501131886,0.07726541701739362
4,0.12,0.5,0.0,1.0,320.0,90.0,0.9,163.54494133649348,0.100162,0.201559,0.454122,0.368143,0.289324,23.29987160478136,73.61168010924916,43.881337962218126,3.9672138575293796,2.081998445008042,0.23169289456038314,0.2504903152294949,0.300431503192776,0.28466952872886553,0.1143679662666311
0,0.12,0.5,15.0,0.9659258262890683,270.0,10.0,0.1,0.7002750439845209,0.013735,0.023839,0.126622,0.081469,0.041332,11.437922991690385,27.823981455475856,17.872992882530703,1.0626572247595778,1.0511710376295007,0.11373820125084635,0.09468114129955912,0.12236659973485141,0.07625153123482527,0.0577427394628078
1,0.12,0.5,15.0,0.9659258262890683,270.0,10.0,0.1,0.7002750439845209,0.032169,0.051783,0.239896,0.170084,0.079692,13.008522306391425,43.59136963672663,30.459770094893,1.7147026496740891,1.519240684096724,0.12935617149506706,0.1483353715793957,0.2085413741120235,0.12303939558651461,0.08345465757972578
2,0.12,0.5,15.0,0.9659258262890683,270.0,10.0,0.1,0.7002750439845209,0.045682,0.078521,0.305128,0.209253,0.112486,14.627693878389964,53.74729914718596,37.55453800105866,2.0904581036673195,1.9369418453893492,0.14545714212141345,0.1828945880073854,0.2571153667438897,0.150001926936455,0.10639974307620562
3,0.12,0.5,15.0,0.9659258262890683,270.0,10.0,0.1,0.7002750439845209,0.06565,0.112386,0.354232,0.259652,0.180991,16.795813983641693,62.25603815674024,43.23053962049238,2.686962040898245,2.7141235818066454,0.16701683272662912,0.21184864412382703,0.2959758431523193,0.19280438246180168,0.1490917512411165
4,0.12,0.5,15.0,0.9659258262890683,270.0,10.0,0.1,0.7002750439845209,0.100162,0.201559,0.454122,0.368143,0.289324,22.560960771232843,80.8624480858198,54.40846753090555,3.8674513869351834,4.120355615268338,0.22434519785411677,0.2751636707813796,0.37250499747294025,0.2775110198839294,0.22633863783299465
0,0.12,0.5,15.0,0.9659258262890683,270.0,50.0,0.5,3.5027922523960817,0.013735,0.023839,0.126622,0.081469,0.041332,11.460501109055352,27.59128990766785,17.560800933456285,1.070809719623908,1.0310557214191618,0.1139627170531111,0.09388932430699544,0.12022919233342111,0.0768365178159214,0.05663776850987427
1,0.12,0.5,15.0,0.9659258262890683,270.0,50.0,0.5,3.5027922523960817,0.032169,0.051783,0.239896,0.170084,0.079692,13.053163282358552,43.28675372179657,29.83814922136528,1.7303358849185417,1.4824756487621715,0.12980007938920762,0.14729880596315778,0.20428547622644092,0.1241611666503809,0.0814350872332564
2,0.12,0.5,15.0,0.9659258262890683,270.0,50.0,0.5,3.5027922523960817,0.045682,0.078521,0.305128,0.209253,0.112486,14.678577238152485,53.1144824379752,36.740941405223616,2.1428607291149326,1.920565683617725,0.14596312400441733,0.18074120070882843,0.2515451161628864,0.15376210504281432,0.10550017068624315
3,0.12,0.5,15.0,0.9659258262890683,270.0,50.0,0.5,3.5027922523960817,0.06565,0.112386,0.354232,0.259652,0.180991,16.79929095030915,61.49108861159495,42.28057744700921,2.7604878481938138,2.6950376955975024,0.16705140752966396,0.209245627151334,0.28947197209894454,0.19808026565436385,0.14804332875292026
4,0.12,0.5,15.0,0.9659258262890683,270.0,50.0,0.5,3.5027922523960817,0.100162,0.201559,0.454122,0.368143,0.289324,22.53024530081366,79.977561359268,53.254751746552934,3.881846691480497,4.058591480638922,0.22403976457234095,0.2721525242520871,0.36460613696762195,0.27854396257569924,0.22294582143453795
0,0.12,0.5,15.0,0.9659258262890683,270.0,90.0,0.9,6.307579202674779,0.013735,0.023839,0.126622,0.081469,0.041332,11.567654554961901,27.661945570350642,17.539739849116188,1.0500584390261594,1.0300512042988088,0.11502824618843532,0.0941297557058155,0.12008499861643342,0.07534749870063723,0.05658258855505238
1,0.12,0.5,15.0,0.9659258262890683,270.0,90.0,0.9,6.307579202674779,0.032169,0.051783,0.239896,0.170084,0.079692,13.121681082891346,43.32108653175416,29.827735943966534,1.7215411276651602,1.4723692397425105,0.13048141737267943,0.14741563574310884,0.20421418221565296,0.12353009419184598,0.0808799237802727
2,0.12,0.5,15.0,0.9659258262890683,270.0,90.0,0.9,6.307579202674779,0.045682,0.078521,0.305128,0.209253,0.112486,14.794326930844173,53.16880282533996,36.66678931151231,2.1048693675705654,1.9300507654840586,0.147114133838253,0.18092604543637972,0.251037437363353,0.15103601480039464,0.10602120350714946
3,0.12,0.5,15.0,0.9659258262890683,270.0,90.0,0.9,6.307579202674779,0.06565,0.112386,0.354232,0.259652,0.180991,16.959030944173634,61.63554749603569,42.173399984979724,2.7899127336080496,2.6867751780764704,0.16863985497621237,0.20973720065498938,0.2887381866785084,0.20019166387099233,0.1475894536180043
4,0.12,0.5,15.0,0.9659258262890683,270.0,90.0,0.9,6.307579202674779,0.100162,0.201559,0.454122,0.368143,0.289324,22.76760667630173,80.43718986887104,53.26701153913544,3.9291418433303766,4.06580750249451,0.2264000756108095,0.2737165761809122,0.36469007305720896,0.28193765121255276,0.22334221065669993
