The row below gives BB SW fluxes in Wm-2 :
                SFC_DN_TOT     SFC_DN_DIR     TOA_UP        SFC_UP
                  722.54        537.69        148.19         98.32
Spectral values follow (Wm-2/cm-1)
   wvn(cm-1) SFC_DN_TOT    SFC_DN_DIR     TOA_UP        SFC_UP   
    1075.0  0.0014005880  0.0013874860  0.0001369227  0.0001906130
    1076.0  0.0014217900  0.0014084619  0.0001401778  0.0001934983
    1077.0  0.0014452410  0.0014316650  0.0001437369  0.0001966899
    1078.0  0.0014694580  0.0014556220  0.0001473477  0.0001999855
    1079.0  0.0014919740  0.0014778980  0.0001506600  0.0002030500
    1080.0  0.0015116940  0.0014974060  0.0001535012  0.0002057338
    1081.0  0.0015275590  0.0015130950  0.0001557576  0.0002078928
    1082.0  0.0015402180  0.0015256130  0.0001575380  0.0002096160
    1083.0  0.0015498160  0.0015350990  0.0001589086  0.0002109219
    1084.0  0.0015570800  0.0015422771  0.0001600120  0.0002119105
    1085.0  0.0015621000  0.0015472260  0.0001608858  0.0002125933
    1086.0  0.0015649240  0.0015500060  0.0001615700  0.0002129779
    1087.0  0.0015661709  0.0015512221  0.0001621469  0.0002131478
    1088.0  0.0015663640  0.0015513930  0.0001626913  0.0002131742
    1089.0  0.0015676999  0.0015526901  0.0001634923  0.0002133557
    1090.0  0.0015714610  0.0015563919  0.0001647006  0.0002138673
    1091.0  0.0015794650  0.0015642931  0.0001665474  0.0002149568
    1092.0  0.0015910839  0.0015757700  0.0001688829  0.0002165382
    1093.0  0.0016041950  0.0015887260  0.0001713578  0.0002183228
    1094.0  0.0016149830  0.0015993840  0.0001733488  0.0002197908
    1095.0  0.0016189960  0.0016033390  0.0001741669  0.0002203368
    1096.0  0.0016137169  0.0015981020  0.0001734124  0.0002196188
    1097.0  0.0015986731  0.0015832010  0.0001710287  0.0002175709
    1098.0  0.0015769950  0.0015617390  0.0001675249  0.0002146209
    1099.0  0.0015535180  0.0015384940  0.0001636864  0.0002114257
    1100.0  0.0015334170  0.0015185931  0.0001603609  0.0002086902
    1101.0  0.0015200800  0.0015053820  0.0001581105  0.0002068749
    1102.0  0.0015141530  0.0014995040  0.0001570579  0.0002060686
    1103.0  0.0015134180  0.0014987650  0.0001568674  0.0002059682
    1104.0  0.0015153120  0.0015006260  0.0001571214  0.0002062258
    1105.0  0.0015168320  0.0015021180  0.0001573376  0.0002064326
