The row below gives BB SW fluxes in Wm-2 :
                SFC_DN_TOT     SFC_DN_DIR     TOA_UP        SFC_UP
                  384.19        340.62        103.96         72.53
Spectral values follow (Wm-2/cm-1)
   wvn(cm-1) SFC_DN_TOT    SFC_DN_DIR     TOA_UP        SFC_UP   
     973.0  0.0002099514  0.0002099512  0.0000156315  0.0000396591
     974.0  0.0002094865  0.0002094863  0.0000155917  0.0000395712
     975.0  0.0002121755  0.0002121753  0.0000158652  0.0000400792
     976.0  0.0002180281  0.0002180279  0.0000164523  0.0000411847
     977.0  0.0002264153  0.0002264151  0.0000172932  0.0000427691
     978.0  0.0002365414  0.0002365411  0.0000183092  0.0000446818
     979.0  0.0002472612  0.0002472610  0.0000193894  0.0000467067
     980.0  0.0002576932  0.0002576930  0.0000204483  0.0000486772
     981.0  0.0002671140  0.0002671137  0.0000214167  0.0000504569
     982.0  0.0002752573  0.0002752571  0.0000222689  0.0000519952
     983.0  0.0002821326  0.0002821324  0.0000230064  0.0000532938
     984.0  0.0002878781  0.0002878778  0.0000236388  0.0000543792
     985.0  0.0002927068  0.0002927066  0.0000241836  0.0000552913
     986.0  0.0002966154  0.0002966151  0.0000246325  0.0000560296
     987.0  0.0002996483  0.0002996480  0.0000249853  0.0000566025
     988.0  0.0003016827  0.0003016824  0.0000252247  0.0000569868
     989.0  0.0003026875  0.0003026872  0.0000253462  0.0000571766
     990.0  0.0003026316  0.0003026313  0.0000253461  0.0000571660
     991.0  0.0003014126  0.0003014123  0.0000252143  0.0000569357
     992.0  0.0002989823  0.0002989820  0.0000249464  0.0000564767
     993.0  0.0002951209  0.0002951206  0.0000245185  0.0000557473
     994.0  0.0002897542  0.0002897539  0.0000239243  0.0000547335
     995.0  0.0002828197  0.0002828194  0.0000231569  0.0000534236
     996.0  0.0002745652  0.0002745649  0.0000222454  0.0000518644
     997.0  0.0002654239  0.0002654237  0.0000212374  0.0000501376
     998.0  0.0002560748  0.0002560745  0.0000202075  0.0000483716
     999.0  0.0002471855  0.0002471853  0.0000192294  0.0000466925
    1000.0  0.0002392638  0.0002392636  0.0000183592  0.0000451961
    1001.0  0.0002325199  0.0002325197  0.0000176228  0.0000439222
    1002.0  0.0002267185  0.0002267182  0.0000170000  0.0000428263
    1003.0  0.0002214606  0.0002214604  0.0000164528  0.0000418331
    1004.0  0.0002160199  0.0002160196  0.0000159126  0.0000408054
    1005.0  0.0002099015  0.0002099013  0.0000153295  0.0000396496
    1006.0  0.0002025687  0.0002025685  0.0000146522  0.0000382645
    1007.0  0.0001939640  0.0001939638  0.0000138699  0.0000366391
    1008.0  0.0001842063  0.0001842061  0.0000129901  0.0000347959
    1009.0  0.0001737805  0.0001737804  0.0000120525  0.0000328265
    1010.0  0.0001632736  0.0001632734  0.0000111094  0.0000308418
    1011.0  0.0001532233  0.0001532231  0.0000102086  0.0000289433
    1012.0  0.0001440404  0.0001440403  0.0000093891  0.0000272087
    1013.0  0.0001358737  0.0001358736  0.0000086639  0.0000256660
    1014.0  0.0001288070  0.0001288069  0.0000080392  0.0000243312
    1015.0  0.0001228018  0.0001228017  0.0000075084  0.0000231968
    1016.0  0.0001179392  0.0001179391  0.0000070728  0.0000222783
    1017.0  0.0001142175  0.0001142174  0.0000067313  0.0000215753
    1018.0  0.0001116665  0.0001116664  0.0000064839  0.0000210934
    1019.0  0.0001101388  0.0001101387  0.0000063236  0.0000208048
    1020.0  0.0001093158  0.0001093157  0.0000062282  0.0000206494
    1021.0  0.0001087856  0.0001087855  0.0000061713  0.0000205492
    1022.0  0.0001079869  0.0001079868  0.0000061119  0.0000203983
    1023.0  0.0001064837  0.0001064835  0.0000060174  0.0000201144
    1024.0  0.0001039463  0.0001039462  0.0000058591  0.0000196351
    1025.0  0.0001003181  0.0001003180  0.0000056266  0.0000189497
    1026.0  0.0000958794  0.0000958793  0.0000053325  0.0000181113
    1027.0  0.0000911339  0.0000911337  0.0000050051  0.0000172149
    1028.0  0.0000867816  0.0000867815  0.0000046910  0.0000163927
    1029.0  0.0000833912  0.0000833911  0.0000044292  0.0000157523
    1030.0  0.0000812929  0.0000812928  0.0000042473  0.0000153559
    1031.0  0.0000803741  0.0000803740  0.0000041447  0.0000151824
    1032.0  0.0000802202  0.0000802201  0.0000041002  0.0000151533
    1033.0  0.0000802520  0.0000802519  0.0000040836  0.0000151593
    1034.0  0.0000800834  0.0000800833  0.0000040747  0.0000151275
    1035.0  0.0000797693  0.0000797692  0.0000040879  0.0000150681
    1036.0  0.0000799038  0.0000799037  0.0000041726  0.0000150935
    1037.0  0.0000816010  0.0000816009  0.0000044178  0.0000154141
