The row below gives BB SW fluxes in Wm-2 :
                SFC_DN_TOT     SFC_DN_DIR     TOA_UP        SFC_UP
                  351.06        253.88        115.22         66.23
Spectral values follow (Wm-2/cm-1)
   wvn(cm-1) SFC_DN_TOT    SFC_DN_DIR     TOA_UP        SFC_UP   
    1023.0  0.0001062783  0.0001058949  0.0000060412  0.0000200752
    1024.0  0.0001037457  0.0001033709  0.0000058822  0.0000195968
    1025.0  0.0001001242  0.0000997620  0.0000056489  0.0000189128
    1026.0  0.0000956939  0.0000953470  0.0000053539  0.0000180759
    1027.0  0.0000909576  0.0000906273  0.0000050256  0.0000171813
    1028.0  0.0000866135  0.0000862984  0.0000047106  0.0000163607
    1029.0  0.0000832296  0.0000829262  0.0000044479  0.0000157215
    1030.0  0.0000811351  0.0000808387  0.0000042654  0.0000153258
    1031.0  0.0000802179  0.0000799244  0.0000041623  0.0000151526
    1032.0  0.0000800639  0.0000797706  0.0000041174  0.0000151235
    1033.0  0.0000800953  0.0000798017  0.0000041005  0.0000151294
    1034.0  0.0000799266  0.0000796333  0.0000040912  0.0000150976
    1035.0  0.0000796127  0.0000793202  0.0000041042  0.0000150383
    1036.0  0.0000797467  0.0000794533  0.0000041890  0.0000150636
    1037.0  0.0000814402  0.0000811400  0.0000044352  0.0000153835
    1038.0  0.0000858642  0.0000855471  0.0000049304  0.0000162192
    1039.0  0.0000938815  0.0000935341  0.0000057356  0.0000177336
    1040.0  0.0001053626  0.0001049720  0.0000068251  0.0000199023
    1041.0  0.0001190726  0.0001186305  0.0000080834  0.0000224919
    1042.0  0.0001325828  0.0001320901  0.0000092937  0.0000250440
    1043.0  0.0001430897  0.0001425574  0.0000102155  0.0000270286
    1044.0  0.0001480182  0.0001474673  0.0000106320  0.0000279596
    1045.0  0.0001460568  0.0001455128  0.0000104422  0.0000275891
    1046.0  0.0001373817  0.0001368697  0.0000096764  0.0000259504
    1047.0  0.0001236124  0.0001231513  0.0000084861  0.0000233495
    1048.0  0.0001072357  0.0001068353  0.0000070941  0.0000202561
    1049.0  0.0000907839  0.0000904445  0.0000057152  0.0000171485
    1050.0  0.0000763372  0.0000760512  0.0000045216  0.0000144196
    1051.0  0.0000651044  0.0000648600  0.0000036023  0.0000122978
    1052.0  0.0000575191  0.0000573027  0.0000029839  0.0000108650
    1053.0  0.0000533974  0.0000531960  0.0000026403  0.0000100864
    1054.0  0.0000522793  0.0000520817  0.0000025278  0.0000098752
    1055.0  0.0000536092  0.0000534061  0.0000025978  0.0000101264
    1056.0  0.0000570031  0.0000567868  0.0000028182  0.0000107675
    1057.0  0.0000621804  0.0000619440  0.0000031707  0.0000117455
    1058.0  0.0000691342  0.0000688709  0.0000036602  0.0000130590
    1059.0  0.0000778929  0.0000775959  0.0000043021  0.0000147134
    1060.0  0.0000886504  0.0000883119  0.0000051273  0.0000167454
    1061.0  0.0001015224  0.0001011341  0.0000061681  0.0000191769
    1062.0  0.0001167352  0.0001162881  0.0000074674  0.0000220504
    1063.0  0.0001344528  0.0001339372  0.0000090647  0.0000253972
    1064.0  0.0001548614  0.0001542667  0.0000109950  0.0000292522
    1065.0  0.0001778891  0.0001772051  0.0000132579  0.0000336020
    1066.0  0.0002029177  0.0002021364  0.0000157890  0.0000383297
    1067.0  0.0002286733  0.0002277920  0.0000184424  0.0000431948
    1068.0  0.0002530871  0.0002521107  0.0000209910  0.0000478063
    1069.0  0.0002741129  0.0002730543  0.0000232042  0.0000517780
    1070.0  0.0002900732  0.0002889517  0.0000248998  0.0000547927
    1071.0  0.0003008376  0.0002996732  0.0000260619  0.0000568260
    1072.0  0.0003075303  0.0003063385  0.0000268146  0.0000580903
    1073.0  0.0003126517  0.0003114383  0.0000274326  0.0000590576
    1074.0  0.0003186592  0.0003174207  0.0000281816  0.0000601924
    1075.0  0.0003274502  0.0003261754  0.0000292661  0.0000618530
    1076.0  0.0003394137  0.0003380904  0.0000307167  0.0000641128
    1077.0  0.0003536150  0.0003522343  0.0000324185  0.0000667955
    1078.0  0.0003684295  0.0003669889  0.0000341780  0.0000695936
    1079.0  0.0003818962  0.0003804012  0.0000357675  0.0000721374
    1080.0  0.0003930048  0.0003914644  0.0000370704  0.0000742358
    1081.0  0.0004010127  0.0003994388  0.0000380036  0.0000757485
    1082.0  0.0004063265  0.0004047296  0.0000386186  0.0000767522
    1083.0  0.0004092682  0.0004076576  0.0000389588  0.0000773079
    1084.0  0.0004104835  0.0004088658  0.0000391069  0.0000775374
