The row below gives BB SW fluxes in Wm-2 :
                SFC_DN_TOT     SFC_DN_DIR     TOA_UP        SFC_UP
                  643.36        568.55        427.55        431.82
Spectral values follow (Wm-2/cm-1)
   wvn(cm-1) SFC_DN_TOT    SFC_DN_DIR     TOA_UP        SFC_UP   
     939.0  0.0011231090  0.0011231080  0.0007047995  0.0007539991
     940.0  0.0011199790  0.0011199780  0.0007007326  0.0007518975
     941.0  0.0011169210  0.0011169200  0.0006966722  0.0007498443
     942.0  0.0011132790  0.0011132780  0.0006921943  0.0007473996
     943.0  0.0011096910  0.0011096901  0.0006876405  0.0007449908
     944.0  0.0011056770  0.0011056761  0.0006827715  0.0007422962
     945.0  0.0011018870  0.0011018860  0.0006780455  0.0007397507
     946.0  0.0010987960  0.0010987950  0.0006739885  0.0007376761
     947.0  0.0010966790  0.0010966780  0.0006709550  0.0007362547
     948.0  0.0010966890  0.0010966880  0.0006698924  0.0007362611
     949.0  0.0010983520  0.0010983510  0.0006705876  0.0007373770
     950.0  0.0011024540  0.0011024530  0.0006735174  0.0007401322
     951.0  0.0011081530  0.0011081520  0.0006780983  0.0007439583
     952.0  0.0011154950  0.0011154939  0.0006842408  0.0007488856
     953.0  0.0011242530  0.0011242520  0.0006918424  0.0007547664
     954.0  0.0011339789  0.0011339770  0.0007006197  0.0007612960
     955.0  0.0011451110  0.0011451100  0.0007109257  0.0007687706
     956.0  0.0011567080  0.0011567069  0.0007220815  0.0007765552
     957.0  0.0011688070  0.0011688060  0.0007338686  0.0007846779
     958.0  0.0011801519  0.0011801500  0.0007450958  0.0007922940
     959.0  0.0011897910  0.0011897900  0.0007545955  0.0007987662
     960.0  0.0011969780  0.0011969770  0.0007614132  0.0008035899
     961.0  0.0012004360  0.0012004350  0.0007643158  0.0008059123
     962.0  0.0012005561  0.0012005550  0.0007634344  0.0008059929
     963.0  0.0011968480  0.0011968460  0.0007585292  0.0008035025
     964.0  0.0011904560  0.0011904550  0.0007506745  0.0007992127
     965.0  0.0011820541  0.0011820530  0.0007407287  0.0007935711
     966.0  0.0011724810  0.0011724801  0.0007297018  0.0007871449
     967.0  0.0011630720  0.0011630710  0.0007188084  0.0007808278
     968.0  0.0011537850  0.0011537840  0.0007082942  0.0007745922
     969.0  0.0011459360  0.0011459350  0.0006991540  0.0007693240
     970.0  0.0011390460  0.0011390450  0.0006911457  0.0007646966
     971.0  0.0011340380  0.0011340370  0.0006849695  0.0007613354
     972.0  0.0011307200  0.0011307190  0.0006804846  0.0007591085
     973.0  0.0011294280  0.0011294270  0.0006780621  0.0007582415
     974.0  0.0011303980  0.0011303970  0.0006777528  0.0007588920
     975.0  0.0011333930  0.0011333920  0.0006795186  0.0007609014
     976.0  0.0011385500  0.0011385489  0.0006832403  0.0007643652
     977.0  0.0011454209  0.0011454200  0.0006886321  0.0007689781
     978.0  0.0011535020  0.0011535001  0.0006951240  0.0007744025
     979.0  0.0011625830  0.0011625810  0.0007024958  0.0007804992
     980.0  0.0011716110  0.0011716100  0.0007098773  0.0007865619
     981.0  0.0011806861  0.0011806840  0.0007172113  0.0007926528
     982.0  0.0011888760  0.0011888749  0.0007238047  0.0007981514
     983.0  0.0011961400  0.0011961380  0.0007295011  0.0008030290
     984.0  0.0012022411  0.0012022390  0.0007341201  0.0008071235
     985.0  0.0012065440  0.0012065420  0.0007371176  0.0008100123
     986.0  0.0012095449  0.0012095430  0.0007387892  0.0008120266
     987.0  0.0012101250  0.0012101240  0.0007382958  0.0008124167
     988.0  0.0012090980  0.0012090970  0.0007361411  0.0008117271
     989.0  0.0012054850  0.0012054840  0.0007316418  0.0008093023
     990.0  0.0011998320  0.0011998300  0.0007251674  0.0008055062
     991.0  0.0011918610  0.0011918590  0.0007165512  0.0008001543
     992.0  0.0011814410  0.0011814400  0.0007057719  0.0007931595
     993.0  0.0011690260  0.0011690250  0.0006931441  0.0007848257
     994.0  0.0011539160  0.0011539150  0.0006782734  0.0007746807
     995.0  0.0011368630  0.0011368610  0.0006616599  0.0007632312
     996.0  0.0011171580  0.0011171560  0.0006428952  0.0007500045
     997.0  0.0010954241  0.0010954220  0.0006224729  0.0007354122
     998.0  0.0010714330  0.0010714320  0.0006003238  0.0007193065
     999.0  0.0010455260  0.0010455250  0.0005768895  0.0007019140
    1000.0  0.0010178520  0.0010178511  0.0005523649  0.0006833334
    1001.0  0.0009886281  0.0009886270  0.0005271179  0.0006637146
    1002.0  0.0009579245  0.0009579234  0.0005013155  0.0006431023
    1003.0  0.0009261436  0.0009261425  0.0004753037  0.0006217662
    1004.0  0.0008930450  0.0008930440  0.0004491324  0.0005995450
    1005.0  0.0008592822  0.0008592812  0.0004231179  0.0005768778
    1006.0  0.0008244686  0.0008244676  0.0003972711  0.0005535065
    1007.0  0.0007892190  0.0007892181  0.0003717238  0.0005298418
    1008.0  0.0007535088  0.0007535079  0.0003466560  0.0005058674
    1009.0  0.0007176463  0.0007176455  0.0003219947  0.0004817915
    1010.0  0.0006822838  0.0006822831  0.0002982504  0.0004580503
    1011.0  0.0006473758  0.0006473750  0.0002752649  0.0004346158
    1012.0  0.0006138433  0.0006138426  0.0002536355  0.0004121038
    1013.0  0.0005812662  0.0005812656  0.0002331278  0.0003902333
    1014.0  0.0005503282  0.0005503275  0.0002140827  0.0003694626
    1015.0  0.0005204112  0.0005204106  0.0001962264  0.0003493780
    1016.0  0.0004920862  0.0004920857  0.0001797151  0.0003303615
    1017.0  0.0004650217  0.0004650211  0.0001644526  0.0003121917
    1018.0  0.0004398932  0.0004398927  0.0001506257  0.0002953219
    1019.0  0.0004169221  0.0004169217  0.0001383984  0.0002799004
    1020.0  0.0003966262  0.0003966257  0.0001279203  0.0002662745
    1021.0  0.0003793997  0.0003793993  0.0001193591  0.0002547096
    1022.0  0.0003652600  0.0003652596  0.0001126312  0.0002452173
    1023.0  0.0003542454  0.0003542450  0.0001076366  0.0002378221
    1024.0  0.0003459564  0.0003459560  0.0001040556  0.0002322576
    1025.0  0.0003399306  0.0003399303  0.0001015287  0.0002282118
    1026.0  0.0003356045  0.0003356041  0.0000996614  0.0002253077
    1027.0  0.0003321622  0.0003321618  0.0000980205  0.0002229968
    1028.0  0.0003288873  0.0003288870  0.0000962569  0.0002207980
    1029.0  0.0003248043  0.0003248039  0.0000940180  0.0002180570
    1030.0  0.0003190539  0.0003190535  0.0000910475  0.0002141966
    1031.0  0.0003109415  0.0003109412  0.0000872129  0.0002087504
    1032.0  0.0003000468  0.0003000465  0.0000825325  0.0002014360
    1033.0  0.0002868708  0.0002868705  0.0000773895  0.0001925907
    1034.0  0.0002726143  0.0002726140  0.0000725182  0.0001830194
    1035.0  0.0002599535  0.0002599532  0.0000692051  0.0001745194
    1036.0  0.0002524211  0.0002524208  0.0000691757  0.0001694625
    1037.0  0.0002542271  0.0002542268  0.0000742896  0.0001706752
    1038.0  0.0002690324  0.0002690321  0.0000861275  0.0001806150
    1039.0  0.0002982467  0.0002982463  0.0001049779  0.0002002277
    1040.0  0.0003400311  0.0003400307  0.0001295130  0.0002282796
    1041.0  0.0003881876  0.0003881871  0.0001561884  0.0002606094
    1042.0  0.0004336263  0.0004336257  0.0001801730  0.0002911146
    1043.0  0.0004662682  0.0004662676  0.0001963297  0.0003130289
    1044.0  0.0004783651  0.0004783644  0.0002010004  0.0003211505
    1045.0  0.0004667602  0.0004667597  0.0001930787  0.0003133593
    1046.0  0.0004337597  0.0004337592  0.0001743227  0.0002912042
    1047.0  0.0003858832  0.0003858828  0.0001485952  0.0002590628
    1048.0  0.0003317379  0.0003317375  0.0001205291  0.0002227119
    1049.0  0.0002791965  0.0002791962  0.0000941820  0.0001874385
    1050.0  0.0002341443  0.0002341440  0.0000722357  0.0001571925
    1051.0  0.0001996101  0.0001996099  0.0000558833  0.0001340080
    1052.0  0.0001764512  0.0001764510  0.0000450837  0.0001184605
    1053.0  0.0001641838  0.0001641836  0.0000392830  0.0001102247
    1054.0  0.0001615715  0.0001615713  0.0000376213  0.0001084709
    1055.0  0.0001677400  0.0001677399  0.0000396002  0.0001126122
    1056.0  0.0001818189  0.0001818187  0.0000448668  0.0001220640
    1057.0  0.0002039468  0.0002039466  0.0000536770  0.0001369195
    1058.0  0.0002344516  0.0002344513  0.0000665164  0.0001573989
    1059.0  0.0002744045  0.0002744042  0.0000843068  0.0001842211
    1060.0  0.0003246221  0.0003246217  0.0001079222  0.0002179350
    1061.0  0.0003856738  0.0003856733  0.0001381671  0.0002589219
    1062.0  0.0004570810  0.0004570804  0.0001753150  0.0003068610
    1063.0  0.0005374287  0.0005374280  0.0002191549  0.0003608023
    1064.0  0.0006242692  0.0006242684  0.0002688153  0.0004191028
    1065.0  0.0007143891  0.0007143882  0.0003228351  0.0004796047
    1066.0  0.0008042277  0.0008042266  0.0003792170  0.0005399182
    1067.0  0.0008900242  0.0008900230  0.0004355280  0.0005975178
    1068.0  0.0009681326  0.0009681312  0.0004889434  0.0006499558
    1069.0  0.0010357969  0.0010357960  0.0005370140  0.0006953820
    1070.0  0.0010908170  0.0010908151  0.0005774598  0.0007323183
    1071.0  0.0011330720  0.0011330700  0.0006094797  0.0007606868
    1072.0  0.0011635059  0.0011635040  0.0006332257  0.0007811186
