wavelength/nm,wavenumber/cm-1,RSRF/1
944,10593.22033898305,0.0026950000000000003
945,10582.010582010582,0.0027029999999999997
946,10570.824524312897,0.0027129999999999997
947,10559.662090813094,0.0027229999999999997
948,10548.523206751055,0.002734
949,10537.40779768177,0.002744
950,10526.315789473685,0.002752
951,10515.247108307045,0.002758
952,10504.20168067227,0.0027600000000000003
953,10493.17943336831,0.002758
954,10482.180293501047,0.002751
955,10471.204188481675,0.002737
956,10460.251046025105,0.0027189999999999996
957,10449.32079414838,0.0026950000000000003
958,10438.413361169103,0.002667
959,10427.528675703858,0.002635
960,10416.666666666666,0.0026
961,10405.827263267429,0.002562
962,10395.010395010395,0.002521
963,10384.215991692627,0.0024790000000000003
964,10373.443983402489,0.002435
965,10362.694300518135,0.002391
966,10351.966873706004,0.002347
967,10341.261633919337,0.002304
968,10330.578512396694,0.002261
969,10319.917440660474,0.002221
970,10309.278350515464,0.002183
971,10298.661174047375,0.002147
972,10288.0658436214,0.002113
973,10277.49229188078,0.002082
974,10266.94045174538,0.002056
975,10256.410256410256,0.002034
976,10245.901639344262,0.0020169999999999997
977,10235.414534288639,0.0020050000000000003
978,10224.948875255624,0.0019950000000000002
979,10214.50459652707,0.001986
980,10204.081632653062,0.001978
981,10193.67991845056,0.00197
982,10183.299389002037,0.001961
983,10172.93997965412,0.001953
984,10162.60162601626,0.0019420000000000001
985,10152.284263959391,0.001931
986,10141.987829614605,0.001917
987,10131.712259371834,0.001901
988,10121.457489878543,0.001883
989,10111.223458038423,0.0018629999999999999
990,10101.0101010101,0.00184
991,10090.817356205853,0.001815
992,10080.645161290322,0.0017879999999999999
993,10070.493454179255,0.0017569999999999999
994,10060.36217303823,0.0017230000000000001
995,10050.251256281406,0.001686
996,10040.160642570281,0.001648
997,10030.090270812438,0.001608
998,10020.040080160321,0.001565
999,10010.01001001001,0.001522
1000,10000.0,0.001479
