AlbSet,AOD,COD,th0,cos_th0,Ts,RH,rh,tpw,alb_C01,alb_C02,alb_C03,alb_C05,alb_C06,C01_rad,C02_rad,C03_rad,C05_rad,C06_rad,C01,C02,C03,C05,C06,C01_srf,C02_srf,C03_srf,C05_srf,C06_srf
2,0.12,0.5,0.0,1.0,270.0,90.0,0.9,6.307579202674779,0.0407,0.0745,0.3575,0.2494,0.1275,15.428149082046264,54.54556202521222,37.46691080446589,2.0573729149181186,1.8437752635463267,0.15341683332687878,0.18561096562104723,0.2565154312903353,0.14762788171797867,0.10128193306297144,21.483611227612563,144.69756562177994,121.56779034348969,10.950067969727687,8.222056506835415
3,0.12,0.5,0.0,1.0,270.0,90.0,0.9,6.307579202674779,0.0673,0.1207,0.2988,0.2961,0.1916,17.654221297390677,63.63999448177761,43.47930201667892,2.7754111380200275,2.652224374747158,0.17555279715629968,0.2165580551250155,0.297678983122402,0.19915109420923235,0.1456915150680855,30.90177938147935,176.76315112523517,142.4549171897146,14.701972798360611,12.986557336403905
4,0.12,0.5,0.0,1.0,270.0,90.0,0.9,6.307579202674779,0.0938,0.1669,0.2401,0.3428,0.2555,23.337394311749833,83.8986488937202,55.597150236234356,4.13761306716643,4.126146784010553,0.23206601870186908,0.28549544009220473,0.380643257347529,0.2968966141457729,0.22665675727873297,56.44720303196502,251.9740924040679,186.04976921003737,22.008697820993042,20.999568559015785
0,0.12,0.5,0.0,1.0,285.0,10.0,0.1,2.102284871618859,0.0145,0.0288,0.4156,0.2031,0.0641,11.707828847716685,29.27337431658657,18.160099847870654,0.9368885016023701,0.9277153443891633,0.11642213316696466,0.09961322373718555,0.12433226398256565,0.0672269299817207,0.05096109339876382,6.414854123332015,57.699826984114424,51.22281396377218,4.078688120171428,3.076755418124286
1,0.12,0.5,0.0,1.0,285.0,10.0,0.1,2.102284871618859,0.0251,0.0472,0.3922,0.2218,0.0897,13.53240599347226,44.94826429571017,30.47233328917372,1.6668697285499658,1.412257060754198,0.1345656477501987,0.15295269549263288,0.2086273874269755,0.11960711903094495,0.07757785231368115,14.442680099656783,112.1608467028095,97.38050697268065,8.98369237666717,6.186600670441207
2,0.12,0.5,0.0,1.0,285.0,10.0,0.1,2.102284871618859,0.0407,0.0745,0.3575,0.2494,0.1275,15.223876936218808,54.53658863670702,37.7725203916611,2.04434004398483,1.826965788420009,0.1513855601272826,0.1855804304272844,0.2586077728627421,0.1466927011706729,0.10035855798129646,21.358982114735657,146.7336999236246,123.77952663835477,11.500739035391863,8.683307085100662
3,0.12,0.5,0.0,1.0,285.0,10.0,0.1,2.102284871618859,0.0673,0.1207,0.2988,0.2961,0.1916,17.403251580465856,63.66990947648968,43.94535596164725,2.7744738704827583,2.648189918390028,0.1730571653713855,0.2166598516937719,0.3008697993955136,0.1990838400813459,0.14546989503293956,30.49220007973139,179.3117421818236,145.42781761548548,15.47074759824191,13.868698575232877
4,0.12,0.5,0.0,1.0,285.0,10.0,0.1,2.102284871618859,0.0938,0.1669,0.2401,0.3428,0.2555,23.098024903863916,83.95111096088479,56.04090737595679,4.064931955326409,4.152474542661102,0.22968573987788998,0.28567396121442534,0.3836814195989655,0.291681342522409,0.2281029890088486,55.97813423423498,255.16388640604399,189.67149559672765,23.083201654095042,22.285660236715515
0,0.12,0.5,0.0,1.0,285.0,50.0,0.5,10.524269951667252,0.0145,0.0288,0.4156,0.2031,0.0641,11.764840111909091,28.67591511379645,17.323837199074,0.9857649107956419,0.8790240036274217,0.11698905066107543,0.09758015311820839,0.1186068313428802,0.07073408257562515,0.04828638937529641,6.397614181122769,55.798866362759384,49.10945299635985,3.787439143544792,2.7952596559624774
1,0.12,0.5,0.0,1.0,285.0,50.0,0.5,10.524269951667252,0.0251,0.0472,0.3922,0.2218,0.0897,13.587685615039717,44.35632215712003,29.08980506221875,1.7160276752419512,1.3749064259140744,0.13511534586649812,0.15093839867624445,0.19916197336443836,0.12313447349698348,0.0755261139198919,14.41027610375119,108.43764801634147,93.66919248656819,8.157859790738215,5.609315403238128
2,0.12,0.5,0.0,1.0,285.0,50.0,0.5,10.524269951667252,0.0407,0.0745,0.3575,0.2494,0.1275,15.137127920530546,53.45278523708106,36.30114669224354,2.0533245607562303,1.7595555481992071,0.15052293174520376,0.18189239810936703,0.2485340824785762,0.14733738992379292,0.09665559072016175,21.413423601315166,141.8199307768765,118.73450117061692,10.477607716558339,7.8246832923224865
3,0.12,0.5,0.0,1.0,285.0,50.0,0.5,10.524269951667252,0.0673,0.1207,0.2988,0.2961,0.1916,17.377263828446733,61.998685387002624,41.98534909185471,2.7601006622717086,2.564371357850253,0.17279874431265346,0.2109729084209999,0.2874507051402988,0.1980524829237286,0.1408655888542702,30.592296525059893,172.73753597050532,138.91647195555356,14.095323383873097,12.44899198331283
4,0.12,0.5,0.0,1.0,285.0,50.0,0.5,10.524269951667252,0.0938,0.1669,0.2401,0.3428,0.2555,23.099224444281077,81.65945869739032,53.6144562302351,4.080964934821063,3.9736024814173425,0.22969766805483913,0.2778757871063603,0.36706883668819246,0.2928317974463856,0.21827722092750404,56.05839178224764,247.1094413107162,181.64036369780845,21.12125486023256,19.990023767590767
0,0.12,0.5,0.0,1.0,285.0,90.0,0.9,18.966876247123928,0.0145,0.0288,0.4156,0.2031,0.0641,11.870900588206965,28.798847956666364,17.141289163079605,0.9982877452150025,0.8737779361470979,0.11804371135486502,0.09799847649456445,0.11735702485553234,0.07163266518309998,0.04799821333459825,6.425763369061688,55.041161903472826,48.28960581202806,3.665657985519848,2.7286954190055717
