AlbSet,AOD,COD,th0,cos_th0,Ts,RH,rh,tpw,theta_trunc_cld,re_um,escape,GHI,DNI,DHI,alb_C01,alb_C02,alb_C03,alb_C05,alb_C06
0,0.12,3.0,30.0,0.8660254037844387,285.0,10.0,0.1,2.102284871618859,3.0,5.0,f,833.7661924393262,162.01945807998032,671.7467343593459,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,3.0,30.0,0.8660254037844387,300.0,10.0,0.1,5.60472200819694,3.0,5.0,f,807.403560213092,159.73940948299483,647.664150730097,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,3.0,30.0,0.8660254037844387,320.0,10.0,0.1,17.790732986801878,3.0,5.0,f,765.5689429980409,155.11405034942345,610.4548926486175,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,3.0,45.0,0.7071067811865476,270.0,10.0,0.1,0.7002750439845209,3.0,5.0,f,631.6065103508752,89.2688816258885,542.3376287249868,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,3.0,45.0,0.7071067811865476,285.0,10.0,0.1,2.102284871618859,3.0,5.0,f,615.0783660146645,88.05376192461637,527.0246040900481,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,3.0,45.0,0.7071067811865476,300.0,10.0,0.1,5.60472200819694,3.0,5.0,f,595.9282123764051,86.9708903521412,508.957322024264,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,3.0,45.0,0.7071067811865476,320.0,10.0,0.1,17.790732986801878,3.0,5.0,f,564.0270583307035,84.73721935064087,479.2898389800627,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,3.0,60.0,0.5000000000000001,270.0,10.0,0.1,0.7002750439845209,3.0,5.0,f,367.9684729452701,25.611331718120013,342.35714122715007,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,3.0,60.0,0.5000000000000001,285.0,10.0,0.1,2.102284871618859,3.0,5.0,f,357.84089168230327,25.28958884808376,332.5513028342195,0.0145,0.0288,0.4156,0.2031,0.0641
0,0.12,3.0,60.0,0.5000000000000001,300.0,10.0,0.1,5.60472200819694,3.0,5.0,f,345.8086662714048,24.98395775837833,320.82470851302645,0.0145,0.0288,0.4156,0.2031,0.0641
