Time,ghi,Sun_Zen,Sun_Azi,ghi_clear,T_a,RH,C01,C02,C03,C04,C05,C06,Sat_Azi,Sat_Zen,Sun_Azi_sat,Sun_Gli,ele,rtm_dsw,rtm_dni,rtm_dhi,C01_rtm,C02_rtm,C03_rtm,C04_rtm,C05_rtm,C06_rtm
2021-06-27 04:00:00,913.1,17.1026737872336,166.0382674714595,930.9910414076631,302.45,57.0,0.7113,0.8325,0.8360000000000001,0.2543,0.1855,0.2068,202.5,37.16,107.2,39.18,0.04,952.1831559564008,880.5136216333035,110.60647011332581,0.10011448030449394,0.11015345353334575,0.2349243399936711,8.944620150872194e-06,0.2766856782372929,0.15815577317730184
2021-06-30 04:00:00,898.8,17.2821723750897,165.68523032422422,928.848872178866,300.45,71.0,0.467,0.489,0.5288,0.0698,0.335,0.2568,202.5,37.16,107.44,39.3,0.04,949.6632630215636,875.9144529686678,113.29347311626535,0.10056330053817313,0.11060041032320252,0.2346506753212111,7.055412158585017e-06,0.27910596453161135,0.1558006315204746
2021-07-02 04:00:00,998.9,17.43433767637822,165.4901542143673,927.2679119287366,300.04999999999995,59.0,0.6655,0.7583000000000001,0.7733,0.28,0.2285,0.2615,202.5,37.16,107.7,39.42,0.04,956.7647297368736,886.3309681730138,111.150972765735,0.10019113057125145,0.11056837010375413,0.23649994387302276,8.38273332078157e-06,0.2770709940171906,0.1606487395618651
2021-07-03 04:00:00,963.9,17.520017147854844,165.40541641690848,926.431083346856,297.65,65.0,0.6315000000000001,0.7188,0.7425,0.2635,0.2025,0.2313,202.5,37.16,107.88,39.5,0.04,952.8047791232758,881.6220194918526,112.07958608371858,0.10044345855622758,0.11062257131403093,0.23634552872948184,9.596602349470572e-06,0.27643436407920546,0.1606669891049266
2021-07-04 04:00:00,993.4,17.612019793872946,165.32948490024089,925.5630832355794,301.54999999999995,60.0,0.6025,0.6748000000000001,0.6818000000000001,0.0548,0.3973,0.2795,202.5,37.16,108.06,39.58,0.04,943.9165520853064,874.2925950127303,110.60448664224872,0.10025705007764402,0.10948127092713095,0.23263761966909866,8.96840685104426e-06,0.2749307754720071,0.1560029188556152
2021-07-06 04:00:00,996.8,17.81475673631884,165.20472581786908,923.7326109063632,297.95,83.0,0.153,0.1275,0.23,0.039,0.1408,0.077,202.5,37.16,108.48,39.76,0.04,946.7702949388762,870.1329381795152,118.35968450440257,0.10134439429675436,0.11138993463122943,0.23540871119175483,8.182199519897698e-06,0.2817558794733332,0.15594443204995323
2021-07-08 04:00:00,924.2,18.04205423381508,165.1170124589319,921.774347954817,303.75,57.0,0.1325,0.102,0.2238,0.0303,0.1498,0.075,202.5,37.16,108.96,39.96,0.04,939.9804781865369,873.0817151229948,109.82867438494627,0.10027818200619867,0.1090523796938307,0.23072261774224792,8.74074681060659e-06,0.2740109119237768,0.15437594316548586
2021-07-23 04:00:00,914.9,20.476180344764277,165.65366322048214,904.5519458471796,302.85,56.0,0.1645,0.1805,0.301,0.0278,0.2098,0.1075,202.5,37.16,114.7,42.32,0.04,930.6696881324918,876.8884251916115,109.18509004148032,0.10090664847063065,0.10822152104407803,0.2300441668907166,2.6238069444404988e-05,0.2697613585031419,0.15514114444232488
2021-07-24 04:00:00,893.9,20.681053639452852,165.7589324202308,903.227771409291,303.54999999999995,67.0,0.3798,0.3895,0.467,0.0343,0.39,0.2758,202.5,37.16,115.18,42.52,0.04,912.8728338824227,858.0219238629323,110.1411002069676,0.10086272735599792,0.10737442373804809,0.22530181824493864,1.4169409792648087e-05,0.26710243712111786,0.1466898248993253
2021-07-30 04:00:00,863.3,22.0130039337689,166.53543941148732,894.3987497872721,300.54999999999995,67.0,0.1295,0.1008,0.268,0.027,0.1405,0.0613,202.5,37.16,118.36,43.88,0.04,914.5653937387748,867.5284144867644,110.2808335232732,0.10035720017820665,0.10731581095123723,0.2270047284994012,1.5512728089482635e-05,0.2656189392175123,0.14994693467637332
