Time,index,ghi,Sun_Zen,Sun_Azi,ghi_clear,T_a,rh,C01,C02,C03,C04,C05,C06,Sat_Azi,Sat_Zen,Sun_Azi_sat,Sun_Gli,ele,Abdo_C01_p0,Abdo_C01_p1,Abdo_C01_p2,Abdo_C02_p0,Abdo_C02_p1,Abdo_C02_p2,Abdo_C03_p0,Abdo_C03_p1,Abdo_C03_p2,Abdo_C05_p0,Abdo_C05_p1,Abdo_C05_p2,Abdo_C06_p0,Abdo_C06_p1,Abdo_C06_p2,BSA_C01,WSA_C01,BSA_C02,WSA_C02,BSA_C03,WSA_C03,BSA_C05,WSA_C05,BSA_C06,WSA_C06,site
2021-05-29 07:00:00,358,718.7,37.391436852450774,259.9762818794556,738.4166479227272,309.60999999999996,16.76,0.1343,0.1345,0.2335,0.0273,0.166,0.1013,196.56,41.86,260.4,65.9,1.68,0.077,0.117,0.005,0.139,0.217,0.013,0.361,0.256,0.06,0.25,0.199,0.053,0.146,0.19,0.018,0.0758584402982247,0.092246418,0.1318739214131571,0.162143842,0.2925603338099257,0.326773784,0.1882511423360564,0.21463365,0.1308659011132084,0.157147764,FQA
2021-05-24 08:00:00,340,506.5,50.13147785353993,268.8964732665078,565.9211421429917,305.62,14.36,0.1108,0.0968,0.2028,0.0268,0.1238,0.0685,196.5,41.84,269.18,71.28,1.68,0.069,0.151,0.0,0.115,0.285,0.0,0.376,0.255,0.052,0.191,0.534,0.003,0.147,0.129,0.03,0.0907610386145418,0.097566784,0.1560721589744663,0.16891744,0.3407700774220192,0.352605576,0.2638036386628434,0.28789139,0.1240643851689822,0.130076076,FQA
2021-05-31 07:00:00,371,650.6,37.190334282982974,260.3439661120877,740.5800659124409,305.96999999999997,36.85,0.1425,0.1408,0.2205,0.0295,0.1705,0.0963,196.56,41.86,260.76,65.6,1.68,0.079,0.116,0.005,0.144,0.236,0.015,0.356,0.248,0.06,0.282,0.17,0.062,0.173,0.161,0.037,0.0776920953963307,0.0940572339999999,0.1348530424529519,0.1679830939999999,0.2869534408807012,0.320260312,0.206628747603846,0.228748716,0.13079748645504,0.1524866099999999,FQA
2021-05-22 08:00:00,329,512.4,50.3491575691419,268.49095922457536,562.8490249796706,305.10999999999996,34.48,0.1078,0.086,0.199,0.0273,0.1128,0.0543,196.5,41.84,268.78000000000003,71.66,1.68,0.066,0.153,0.0,0.101,0.052,0.0,0.378,0.338,0.048,0.199,0.123,0.029,0.147,0.087,0.032,0.0883893177938222,0.094945152,0.1086094413416912,0.110837568,0.3609839055989102,0.375818336,0.1768357881783831,0.182318594,0.1154128719582359,0.1193751039999999,FQA
2021-06-04 01:00:00,378,794.0,45.26552278029764,92.17197490483944,635.5396910197425,297.67999999999995,39.26,0.091,0.0818,0.1473,0.0263,0.1308,0.075,196.72,41.88,92.48,49.9,1.4,0.085,0.108,0.008,0.162,0.218,0.025,0.334,0.299,0.051,0.307,0.246,0.063,0.201,0.188,0.043,0.0848327574153545,0.094410896,0.1495523515374794,0.168801562,0.2940652637308045,0.320307294,0.2453593512523026,0.266749078,0.1609331335442657,0.177328846,FQA
2021-06-19 01:00:00,422,749.8,45.43547436453474,90.49043516790202,630.3108629299999,298.95,58.96,0.1475,0.1553,0.2025,0.0303,0.218,0.1635,196.72,41.88,90.78,48.98,1.4,0.096,0.119,0.016,0.182,0.146,0.032,0.336,0.42,0.067,0.429,0.24,0.072,0.302,0.145,0.069,0.0861414270581734,0.096470944,0.152974993958235,0.1655369599999999,0.286794162777491,0.323156606,0.3547399796234974,0.375215376,0.2222344937322339,0.234375762,FQA
2021-06-10 03:00:00,406,801.9,21.46160284323564,118.44763945520518,891.5166356205835,298.95,65.78,0.166,0.1685,0.2373,0.029,0.2615,0.1533,196.64,41.88,119.2,50.0,1.48,0.092,0.092,0.013,0.18,0.201,0.036,0.322,0.325,0.053,0.346,0.193,0.058,0.235,0.221,0.052,0.0748955110151606,0.091495842,0.1327073065679775,0.168431592,0.2523348449336575,0.310470834,0.2699852629274192,0.302610436,0.1667832151038115,0.2051733199999999,FQA
2021-06-10 02:00:00,405,763.3,33.02980949641744,101.61464978925696,786.9383758636956,298.01,68.48,0.1553,0.1525,0.2125,0.0285,0.2255,0.1293,196.64,41.88,101.98,48.96,1.48,0.092,0.092,0.013,0.18,0.201,0.036,0.322,0.325,0.053,0.346,0.193,0.058,0.235,0.221,0.052,0.0772360411989876,0.091495842,0.1376224085660289,0.168431592,0.2604182018767165,0.310470834,0.2740926966651387,0.302610436,0.1718630385364923,0.2051733199999999,FQA
2021-06-10 01:00:00,404,657.9,45.229914133680595,91.28246670561488,635.7437047994836,297.06,71.18,0.141,0.1325,0.1743,0.0273,0.1873,0.1055,196.72,41.88,91.58,49.34,1.4,0.092,0.092,0.013,0.18,0.201,0.036,0.322,0.325,0.053,0.346,0.193,0.058,0.235,0.221,0.052,0.0833706843717863,0.091495842,0.1507532368908235,0.168431592,0.2818361427084213,0.310470834,0.2858619131605786,0.302610436,0.1858558047301645,0.2051733199999999,FQA
2021-06-11 00:00:00,409,439.4,57.498320403823335,83.02822972319301,449.80406953787633,298.79999999999995,64.5,0.152,0.1493,0.1625,0.0275,0.1608,0.0825,196.8,41.9,83.32000000000001,51.04,1.4,0.09,0.112,0.015,0.185,0.149,0.032,0.318,0.398,0.064,0.364,0.204,0.061,0.255,0.122,0.058,0.0948096139659277,0.090524278,0.1744141650731668,0.1691045119999999,0.3200081055957173,0.305127424,0.3252696881313895,0.318558594,0.2014926191703714,0.198178372,FQA
2021-06-04 04:00:00,381,1018.8,13.340108319981256,158.80661898781636,940.3392561646608,304.42999999999995,18.3,0.1278,0.1368,0.2288,0.0288,0.216,0.1403,196.64,41.88,160.8,52.98,1.52,0.085,0.108,0.008,0.162,0.218,0.025,0.334,0.299,0.051,0.307,0.246,0.063,0.201,0.188,0.043,0.0738385133260117,0.094410896,0.1280213766960522,0.168801562,0.2657823281780732,0.320307294,0.2236611847674012,0.266749078,0.1439664346650891,0.177328846,FQA
