AKA,ALF,ASA,BJC,BJF,BNF,CBF,CLD,CSA,CWA,DHF,DHL,DYB,ESD,FKD,FQA,GGF,GGS,HBG,HJA,HLA,HSF,HTF,JZB,LCA,LSA,LZD,MXF,NMD,NMG,PDF,QYA,QYF,SJM,SNF,SPD,SYA,SYB,THL,TYA,YCA,YGA,YTA
0,NaN,0,0,0,0,2.4,0,NaN,0,18.6,0,NaN,0,0,0,NaN,0,NaN,0,0,2.3,0,0,0,0,NaN,0,0,0,0,0.2,NaN,8.2,0,NaN,NaN,0,0,NaN,0,0,1.3
0,NaN,0,18.2,19.1,6,53.2,0,NaN,0,220.4,27.5,NaN,0,0,26.7,NaN,5.7,NaN,5.1,4.6,42.7,1.5,34.7,-2.7,0,NaN,0,39.5,3.6,1,46.5,NaN,133.9,0,NaN,NaN,20.2,170.8,NaN,26,0,30.6
0,NaN,141.4,56.5,27.6,51,269.7,0,NaN,96.8,441.5,81.8,NaN,35.9,0,67.9,NaN,22.1,NaN,62.9,24,88.2,27.2,103.7,-2.6,2.6,NaN,0.3,188.6,174.5,27.2,129,NaN,254,42.1,NaN,NaN,59.5,183.3,NaN,85.8,16.9,78.1
0,NaN,354.7,212.6,126.7,129.4,390.8,0,NaN,257,684.2,135.2,NaN,231.3,15.9,151.1,NaN,75.2,NaN,212.9,39.9,480.5,68.7,171.1,-1.2,204.2,NaN,37.5,314.3,327.1,44.2,197.2,NaN,332.2,122.2,NaN,NaN,421,447.4,NaN,177.1,30.1,112
15.2,NaN,472.8,278.2,90,288.1,440.5,46.5,NaN,359.4,1002.8,224.2,NaN,253.4,56.9,232.7,NaN,235.8,NaN,225.5,55.3,631.8,82.5,188.4,108.8,412.6,NaN,98.4,410.1,473.5,43.3,287.1,NaN,363.2,431.1,NaN,NaN,173.4,561.7,NaN,299.3,36,230.9
75.6,NaN,545.7,420.3,102.2,365.4,431.9,250.1,NaN,486.2,694.1,364.7,NaN,310.1,126.4,252.1,NaN,625.8,NaN,254.2,214.7,678,187.9,189.7,279.1,561.6,NaN,424.4,451.4,550.8,55.9,406.1,NaN,339.5,578.2,NaN,NaN,112.8,617.9,NaN,403.9,30,325
208.2,NaN,566,326.1,119.4,420.1,390.2,320,NaN,534.9,657.3,179,NaN,430.1,146.7,329.5,NaN,642,NaN,289.1,217.7,418.8,247.4,207.9,420.4,660.2,NaN,516.7,433.7,667.7,87.4,627.8,NaN,263.1,258.2,NaN,NaN,142.4,571.6,NaN,381.3,116.6,151.3
403.8,NaN,537.1,215,111.3,663.5,139.2,382.1,NaN,489,378.9,221.1,NaN,396.2,293.6,168.1,NaN,594.1,NaN,350.5,185.3,295.4,295.1,188.7,504.6,702.7,NaN,551.3,368.3,569.9,82.6,546.5,NaN,149.4,275.3,NaN,NaN,252.4,574.2,NaN,294.6,180.2,239.4
465.2,NaN,434.6,151.8,32.6,575.2,47.1,453.5,NaN,404.9,226,183.9,NaN,211.9,212.9,177.6,NaN,504.5,NaN,335.7,122.1,245.3,399.3,148.4,530,685.1,NaN,522.1,240.6,406.3,103.2,259.7,NaN,14.3,210.5,NaN,NaN,107.2,196.6,NaN,184.5,134.4,183.8
464,NaN,287.8,16.7,9.7,419.9,0,533.9,NaN,263.3,116.7,75.5,NaN,152.8,227.7,61.8,NaN,83.8,NaN,371.9,10.3,128.4,254.3,69.6,NaN,594.2,NaN,439.8,39.1,NaN,45.5,149.9,NaN,0,148.2,NaN,NaN,152.8,118.4,NaN,67.4,94.3,172.1
214.2,NaN,45.6,0,0,216.6,0,420.7,NaN,96.5,22.4,10,NaN,69.5,83.2,0,NaN,47.2,NaN,78.4,0,39.2,186.5,0,0,443.8,NaN,138.5,0,0,18.3,38.4,NaN,0,72.9,NaN,NaN,151.9,5.8,NaN,0,10.6,12.6
