Ta,rh,COD,th0,dsw,dni,dhi,C01,C02,C03,C04,C05,C06
303.0,0.9,0.4,30.0,783.7144616497208,474.81240665119975,372.5148554577544,9.181956686671988,12.401072337382857,8.294383083414736,0.0018624150348148,2.608801911685454,0.5196576587988792
253.0,0.9,3.98,60.0,294.24714675296764,11.604681289698272,288.4448061081185,14.320381273070735,20.916306232271403,7.728626578890244,0.0624527737987236,2.393072410492756,0.5796817722317364
248.0,0.4,0.4,45.0,701.1202298018736,482.6321833411724,359.8477401424615,8.530768666405972,10.839461612505072,6.626553321260982,0.1817677848614252,2.09598804547731,0.4867415330167428
283.0,0.4,1.58,60.0,340.1240717480241,58.16684827843024,311.04064760880897,10.710348890121882,14.450708345867849,6.265693475608986,0.0039388985611526,1.9610701578626444,0.4794267679388088
278.0,0.9,0.0,60.0,424.02883876772046,542.3909027371836,152.83338739912858,7.098831120040373,7.790741112205515,4.799576231327629,0.0029430360506362,1.5223216072071852,0.3319820515580576
293.0,0.3,0.4,45.0,636.3467203499864,436.5920604832371,327.62951377008204,8.580989670189961,10.902094824194538,6.513398970556482,0.0032899832418464,2.0946734749653793,0.4672946354427683
243.0,0.3,0.0,15.0,1060.3753399625627,886.2558961847039,204.31788113679391,8.10792625799588,11.322192227896563,8.320049712287942,0.4723604085205536,2.7060486270976485,0.611374890353996
268.0,0.3,6.31,60.0,245.77126584743493,7.30245480487177,242.12003844499904,16.20270616206751,24.17091827469139,8.424266106248085,0.0533146921986133,2.5571435807708243,0.6105797653904684
298.0,0.5,2.51,0.0,876.6402479573647,77.88873177618298,798.7515161811817,13.821353445161224,20.545077081352765,10.118628584965933,0.0024828876245951,3.183776273972652,0.7079454862340951
283.0,0.2,3.98,60.0,280.2140563855275,10.964205160187609,274.7319538054337,14.053753143333378,20.50955264408768,7.577208462773604,0.0126854320855767,2.353238045543657,0.5680481940691181
