3.98E+00,2.52E+02,2.90E+02,3.06E+00,2.87E+02
4.64E+00,2.50E+02,2.90E+02,3.34E+00,2.86E+02
5.41E+00,2.47E+02,2.89E+02,3.63E+00,2.86E+02
6.31E+00,2.44E+02,2.89E+02,3.95E+00,2.85E+02
7.36E+00,2.42E+02,2.89E+02,4.30E+00,2.85E+02
8.58E+00,2.39E+02,2.89E+02,4.68E+00,2.84E+02
1.00E+01,2.37E+02,2.89E+02,5.09E+00,2.84E+02
1.17E+01,2.35E+02,2.89E+02,5.54E+00,2.83E+02
1.36E+01,2.32E+02,2.89E+02,6.02E+00,2.83E+02
1.58E+01,2.30E+02,2.89E+02,6.53E+00,2.82E+02
1.85E+01,2.28E+02,2.88E+02,7.06E+00,2.81E+02
2.15E+01,2.26E+02,2.88E+02,7.62E+00,2.81E+02
2.51E+01,2.24E+02,2.88E+02,8.22E+00,2.80E+02
2.93E+01,2.23E+02,2.88E+02,8.88E+00,2.79E+02
3.41E+01,2.22E+02,2.88E+02,9.61E+00,2.79E+02
3.98E+01,2.21E+02,2.89E+02,1.04E+01,2.78E+02
4.64E+01,2.19E+02,2.89E+02,1.12E+01,2.78E+02
5.41E+01,2.18E+02,2.89E+02,1.21E+01,2.77E+02
6.31E+01,2.17E+02,2.89E+02,1.30E+01,2.76E+02
7.36E+01,2.16E+02,2.90E+02,1.39E+01,2.76E+02
8.58E+01,2.16E+02,2.90E+02,1.48E+01,2.75E+02
1.00E+02,2.16E+02,2.91E+02,1.59E+01,2.75E+02
1.20E+02,2.16E+02,2.92E+02,1.74E+01,2.75E+02
1.40E+02,2.16E+02,2.93E+02,1.87E+01,2.74E+02
1.60E+02,2.16E+02,2.94E+02,1.99E+01,2.74E+02
